LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
0.000000,0.000000,1726714056.142651,348124.000,54759,2,AK,1,100,RD
0.000000,0.000000,1726714058.681678,350663.000,55600,2,AK,1,100,54757
0.000000,0.000000,1726714061.220705,353202.000,55600,2,AK,1,100,RD
0.000000,0.000000,1726714061.230705,353212.000,55603,2,AK,1,100,55601
0.000000,0.000000,1726714061.240705,353222.000,55603,2,AK,1,100,RD
0.000000,0.000000,1726714063.785232,355766.500,56437,2,AK,1,100,55601
0.000000,0.000000,1726714066.329759,358311.000,56437,2,AK,1,100,RD
0.000000,0.000000,1726714066.342259,358323.500,56440,2,AK,1,100,56438
0.000000,0.000000,1726714066.354759,358336.000,56440,2,AK,1,100,RD
0.000000,0.000000,1726714068.897786,360879.000,57266,2,AK,1,100,56438
0.000000,0.000000,1726714071.440813,363422.000,57266,2,AK,1,100,RD
