LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
0.000000,0.000000,1726714222.266412,514246.000,16699,3,PR,1,100,149815
0.000000,0.000000,1726714222.306412,514286.000,16699,3,PR,1,100,149756
0.000000,0.000000,1726714222.346413,514326.000,16716,2,PR,1,100,149529
0.000000,0.000000,1726714222.386413,514366.000,16716,2,PR,1,100,149340
0.000000,0.000000,1726714222.426414,514406.000,16733,3,PR,1,100,149321
0.000000,0.000000,1726714222.466414,514446.000,16733,3,PR,1,100,149405
0.000000,0.000000,1726714222.506414,514486.000,16733,3,PR,1,100,149528
0.000000,0.000000,1726714222.546415,514526.000,16750,2,PR,1,100,149603
0.000000,0.000000,1726714222.586415,514566.000,16750,2,PR,1,100,149681
0.000000,0.000000,1726714222.626416,514606.000,16767,3,PR,1,100,149656
0.000000,0.000000,1726714222.666416,514646.000,16767,3,PR,1,100,149571
0.000000,0.000000,1726714222.706417,514686.000,16767,3,PR,1,100,149538
0.000000,0.000000,1726714222.746417,514726.000,16784,3,PR,1,100,149557
0.000000,0.000000,1726714222.786417,514766.000,16784,3,PR,1,100,149610
0.000000,0.000000,1726714222.826418,514806.000,16784,3,PR,1,100,149672
0.000000,0.000000,1726714222.866418,514846.000,16802,2,PR,1,100,149734
0.000000,0.000000,1726714222.906419,514886.000,16802,2,PR,1,100,149761
0.000000,0.000000,1726714222.946419,514926.000,16819,3,PR,1,100,149808
0.000000,0.000000,1726714222.986420,514966.000,16819,3,PR,1,100,149816
