LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
0.000000,0.000000,1726714008.325144,300307,46942,1,BI,1,100,960
0.000000,0.000000,1726714008.525146,300507,46975,1,BI,1,100,200
0.000000,0.000000,1726714009.725159,301707,47175,1,BI,1,100,1200
0.000000,0.000000,1726714010.845170,302827,47346,1,BI,1,100,1120
0.000000,0.000000,1726714011.725180,303707,47496,1,BI,1,100,880
0.000000,0.000000,1726714011.925182,303907,47532,1,BI,1,100,200
0.000000,0.000000,1726714013.085194,305067,47712,1,BI,1,100,1160
0.000000,0.000000,1726714014.284207,306266,47912,1,BI,1,100,1200
0.000000,0.000000,1726714015.284218,307266,48083,1,BI,1,100,1000
0.000000,0.000000,1726714015.524220,307506,48118,1,BI,1,100,240
0.000000,0.000000,1726714016.364229,308346,48251,1,BI,1,100,840
0.000000,0.000000,1726714016.644232,308626,48302,1,BI,1,100,280
0.000000,0.000000,1726714017.378240,309360,48417,1,BI,1,100,720
0.000000,0.000000,1726714017.617242,309599,48470,1,BI,1,100,240
0.000000,0.000000,1726714018.617253,310599,48634,1,BI,1,100,1000
0.000000,0.000000,1726714019.737265,311719,48818,1,BI,1,100,1120
0.000000,0.000000,1726714020.977278,312959,49003,1,BI,1,100,1240
0.000000,0.000000,1726714021.977288,313959,49169,1,BI,1,100,1000
0.000000,0.000000,1726714022.177291,314159,49203,1,BI,1,100,200
0.000000,0.000000,1726714023.097300,315079,49351,1,BI,1,100,920
0.000000,0.000000,1726714023.337303,315319,49404,1,BI,1,100,240
0.000000,0.000000,1726714024.137311,316119,49519,1,BI,1,100,800
0.000000,0.000000,1726714024.417314,316399,49572,1,BI,1,100,280
0.000000,0.000000,1726714025.097322,317079,49689,1,BI,1,100,680
0.000000,0.000000,1726714025.337324,317319,49723,1,BI,1,100,240
0.000000,0.000000,1726714025.977331,317959,49829,1,BI,1,100,640
0.000000,0.000000,1726714026.217333,318199,49880,1,BI,1,100,240
0.000000,0.000000,1726714026.937341,318919,49997,1,BI,1,100,720
0.000000,0.000000,1726714028.176354,320158,50194,1,BI,1,100,1240
0.000000,0.000000,1726714029.096364,321078,50344,1,BI,1,100,920
0.000000,0.000000,1726714030.136375,322118,50510,1,BI,1,100,1040
0.000000,0.000000,1726714030.350377,322332,50546,1,BI,1,100,200
0.000000,0.000000,1726714031.149386,323131,50683,1,BI,1,100,800
0.000000,0.000000,1726714031.389388,323371,50719,1,BI,1,100,240
0.000000,0.000000,1726714032.149396,324131,50851,1,BI,1,100,760
0.000000,0.000000,1726714032.349398,324331,50885,1,BI,1,100,200
