LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
0.000000,0.000000,1726714153.032678,445013.000,5197,2,PI,1,100,160431
0.000000,0.000000,1726714153.072678,445053.000,5215,3,PI,1,100,160084
0.000000,0.000000,1726714153.112679,445093.000,5215,3,PI,1,100,160033
0.000000,0.000000,1726714153.152679,445133.000,5215,3,PI,1,100,160194
0.000000,0.000000,1726714153.192680,445173.000,5231,3,PI,1,100,160424
0.000000,0.000000,1726714153.232680,445213.000,5231,3,PI,1,100,160622
0.000000,0.000000,1726714153.272680,445253.000,5231,3,PI,1,100,160723
0.000000,0.000000,1726714153.312681,445293.000,5253,2,PI,1,100,160640
0.000000,0.000000,1726714153.352681,445333.000,5253,2,PI,1,100,160459
0.000000,0.000000,1726714153.392682,445373.000,5269,3,PI,1,100,160338
0.000000,0.000000,1726714153.432682,445413.000,5269,3,PI,1,100,160380
0.000000,0.000000,1726714153.472683,445453.000,5269,3,PI,1,100,160492
0.000000,0.000000,1726714153.512683,445493.000,5289,2,PI,1,100,160607
0.000000,0.000000,1726714153.552683,445533.000,5289,2,PI,1,100,160709
0.000000,0.000000,1726714153.592684,445573.000,5305,3,PI,1,100,160783
0.000000,0.000000,1726714153.632684,445613.000,5305,3,PI,1,100,160833
0.000000,0.000000,1726714153.672685,445653.000,5305,3,PI,1,100,160855
0.000000,0.000000,1726714153.712685,445693.000,5320,2,PI,1,100,160867
0.000000,0.000000,1726714153.752686,445733.000,5320,2,PI,1,100,160903
0.000000,0.000000,1726714153.792686,445773.000,5337,3,PI,1,100,160929
0.000000,0.000000,1726714153.832686,445813.000,5337,3,PI,1,100,160683
0.000000,0.000000,1726714153.872687,445853.000,5337,3,PI,1,100,160159
0.000000,0.000000,1726714153.912187,445892.500,5354,2,PI,1,100,159872
0.000000,0.000000,1726714153.951688,445932.000,5354,2,PI,1,100,159908
0.000000,0.000000,1726714153.991688,445972.000,5370,3,PI,1,100,160106
0.000000,0.000000,1726714154.031689,446012.000,5370,3,PI,1,100,160309
0.000000,0.000000,1726714154.071689,446052.000,5370,3,PI,1,100,160513
0.000000,0.000000,1726714154.111689,446092.000,5388,2,PI,1,100,160579
0.000000,0.000000,1726714154.151690,446132.000,5388,2,PI,1,100,160465
0.000000,0.000000,1726714154.191690,446172.000,5406,3,PI,1,100,160311
0.000000,0.000000,1726714154.231691,446212.000,5406,3,PI,1,100,160294
0.000000,0.000000,1726714154.271691,446252.000,5406,3,PI,1,100,160384
0.000000,0.000000,1726714154.311691,446292.000,5425,3,PI,1,100,160501
0.000000,0.000000,1726714154.351692,446332.000,5425,3,PI,1,100,160649
0.000000,0.000000,1726714154.391692,446372.000,5425,3,PI,1,100,160746
0.000000,0.000000,1726714154.432193,446412.500,5441,2,PI,1,100,160825
0.000000,0.000000,1726714154.472693,446453.000,5441,2,PI,1,100,160872
0.000000,0.000000,1726714154.512360,446492.667,5458,3,PI,1,100,160926
0.000000,0.000000,1726714154.552027,446532.333,5458,3,PI,1,100,160959
0.000000,0.000000,1726714154.591694,446572.000,5458,3,PI,1,100,160988
0.000000,0.000000,1726714154.632195,446612.500,5473,2,PI,1,100,161049
0.000000,0.000000,1726714154.672695,446653.000,5473,2,PI,1,100,161078
0.000000,0.000000,1726714154.712362,446692.667,5490,3,PI,1,100,160809
0.000000,0.000000,1726714154.752029,446732.333,5490,3,PI,1,100,160263
0.000000,0.000000,1726714154.791697,446772.000,5490,3,PI,1,100,159953
0.000000,0.000000,1726714154.831697,446812.000,5507,2,PI,1,100,160008
0.000000,0.000000,1726714154.871697,446852.000,5507,2,PI,1,100,160192
0.000000,0.000000,1726714154.911698,446892.000,5524,3,PI,1,100,160377
0.000000,0.000000,1726714154.951698,446932.000,5524,3,PI,1,100,160518
0.000000,0.000000,1726714154.991699,446972.000,5524,3,PI,1,100,160579
0.000000,0.000000,1726714155.031699,447012.000,5540,2,PI,1,100,160494
0.000000,0.000000,1726714155.071700,447052.000,5540,2,PI,1,100,160352
0.000000,0.000000,1726714155.111700,447092.000,5558,3,PI,1,100,160316
0.000000,0.000000,1726714155.151700,447132.000,5558,3,PI,1,100,160409
0.000000,0.000000,1726714155.191701,447172.000,5558,3,PI,1,100,160516
0.000000,0.000000,1726714155.231701,447212.000,5576,2,PI,1,100,160660
0.000000,0.000000,1726714155.271702,447252.000,5576,2,PI,1,100,160761
0.000000,0.000000,1726714155.311702,447292.000,5593,3,PI,1,100,160833
0.000000,0.000000,1726714155.351702,447332.000,5593,3,PI,1,100,160868
0.000000,0.000000,1726714155.391703,447372.000,5593,3,PI,1,100,160913
0.000000,0.000000,1726714155.432203,447412.500,5608,2,PI,1,100,160956
0.000000,0.000000,1726714155.472704,447453.000,5608,2,PI,1,100,160985
0.000000,0.000000,1726714155.512371,447492.667,5625,3,PI,1,100,161027
0.000000,0.000000,1726714155.552038,447532.333,5625,3,PI,1,100,161067
0.000000,0.000000,1726714155.591705,447572.000,5625,3,PI,1,100,161116
0.000000,0.000000,1726714155.631705,447612.000,5641,2,PI,1,100,161198
0.000000,0.000000,1726714155.671706,447652.000,5641,2,PI,1,100,161269
0.000000,0.000000,1726714155.711706,447692.000,5658,3,PI,1,100,161131
0.000000,0.000000,1726714155.751707,447732.000,5658,3,PI,1,100,160571
0.000000,0.000000,1726714155.791707,447772.000,5658,3,PI,1,100,160180
0.000000,0.000000,1726714155.831708,447812.000,5673,3,PI,1,100,160145
0.000000,0.000000,1726714155.871708,447852.000,5673,3,PI,1,100,160323
0.000000,0.000000,1726714155.911708,447892.000,5673,3,PI,1,100,160475
0.000000,0.000000,1726714155.951709,447932.000,5690,2,PI,1,100,160617
0.000000,0.000000,1726714155.991709,447972.000,5690,2,PI,1,100,160688
0.000000,0.000000,1726714156.031710,448012.000,5708,3,PI,1,100,160657
0.000000,0.000000,1726714156.071710,448052.000,5708,3,PI,1,100,160529
0.000000,0.000000,1726714156.111711,448092.000,5708,3,PI,1,100,160477
0.000000,0.000000,1726714156.151711,448132.000,5726,2,PI,1,100,160528
0.000000,0.000000,1726714156.191711,448172.000,5726,2,PI,1,100,160646
0.000000,0.000000,1726714156.231712,448212.000,5740,3,PI,1,100,160750
0.000000,0.000000,1726714156.271712,448252.000,5740,3,PI,1,100,160852
0.000000,0.000000,1726714156.311713,448292.000,5740,3,PI,1,100,160928
0.000000,0.000000,1726714156.351713,448332.000,5757,2,PI,1,100,161004
0.000000,0.000000,1726714156.391714,448372.000,5757,2,PI,1,100,161037
0.000000,0.000000,1726714156.431714,448412.000,5774,3,PI,1,100,161081
0.000000,0.000000,1726714156.471714,448452.000,5774,3,PI,1,100,161092
0.000000,0.000000,1726714156.511715,448492.000,5774,3,PI,1,100,161137
0.000000,0.000000,1726714156.551715,448532.000,5791,2,PI,1,100,161185
0.000000,0.000000,1726714156.591716,448572.000,5791,2,PI,1,100,161220
0.000000,0.000000,1726714156.631716,448612.000,5805,3,PI,1,100,161282
0.000000,0.000000,1726714156.671716,448652.000,5805,3,PI,1,100,161337
0.000000,0.000000,1726714156.711717,448692.000,5805,3,PI,1,100,161367
0.000000,0.000000,1726714156.751717,448732.000,5822,2,PI,1,100,161429
0.000000,0.000000,1726714156.791718,448772.000,5822,2,PI,1,100,161490
0.000000,0.000000,1726714156.831718,448812.000,5839,3,PI,1,100,161433
0.000000,0.000000,1726714156.871719,448852.000,5839,3,PI,1,100,161008
0.000000,0.000000,1726714156.911719,448892.000,5839,3,PI,1,100,160489
0.000000,0.000000,1726714156.951719,448932.000,5856,2,PI,1,100,160332
0.000000,0.000000,1726714156.991720,448972.000,5856,2,PI,1,100,160399
0.000000,0.000000,1726714157.031720,449012.000,5871,3,PI,1,100,160592
0.000000,0.000000,1726714157.071721,449052.000,5871,3,PI,1,100,160730
0.000000,0.000000,1726714157.111721,449092.000,5871,3,PI,1,100,160859
0.000000,0.000000,1726714157.151722,449132.000,5890,2,PI,1,100,160827
0.000000,0.000000,1726714157.191722,449172.000,5890,2,PI,1,100,160688
0.000000,0.000000,1726714157.231722,449212.000,5906,3,PI,1,100,160562
0.000000,0.000000,1726714157.271723,449252.000,5906,3,PI,1,100,160567
0.000000,0.000000,1726714157.311723,449292.000,5906,3,PI,1,100,160649
0.000000,0.000000,1726714157.351724,449332.000,5925,3,PI,1,100,160774
0.000000,0.000000,1726714157.391724,449372.000,5925,3,PI,1,100,160873
0.000000,0.000000,1726714157.431725,449412.000,5925,3,PI,1,100,160946
0.000000,0.000000,1726714157.471725,449452.000,5942,2,PI,1,100,160987
0.000000,0.000000,1726714157.511725,449492.000,5942,2,PI,1,100,161014
0.000000,0.000000,1726714157.551726,449532.000,5957,3,PI,1,100,161057
0.000000,0.000000,1726714157.591726,449572.000,5957,3,PI,1,100,161076
0.000000,0.000000,1726714157.631727,449612.000,5957,3,PI,1,100,161107
0.000000,0.000000,1726714157.671727,449652.000,5973,2,PI,1,100,161143
0.000000,0.000000,1726714157.711728,449692.000,5973,2,PI,1,100,161182
0.000000,0.000000,1726714157.751728,449732.000,5991,3,PI,1,100,161216
0.000000,0.000000,1726714157.791728,449772.000,5991,3,PI,1,100,161256
0.000000,0.000000,1726714157.831729,449812.000,5991,3,PI,1,100,161306
0.000000,0.000000,1726714157.871729,449852.000,6007,2,PI,1,100,161378
0.000000,0.000000,1726714157.911730,449892.000,6007,2,PI,1,100,161279
0.000000,0.000000,1726714157.951730,449932.000,6022,3,PI,1,100,160800
0.000000,0.000000,1726714157.991730,449972.000,6022,3,PI,1,100,160308
0.000000,0.000000,1726714158.031731,450012.000,6022,3,PI,1,100,160154
0.000000,0.000000,1726714158.071731,450052.000,6038,2,PI,1,100,160258
0.000000,0.000000,1726714158.111732,450092.000,6038,2,PI,1,100,160451
0.000000,0.000000,1726714158.151732,450132.000,6056,3,PI,1,100,160607
0.000000,0.000000,1726714158.191733,450172.000,6056,3,PI,1,100,160705
0.000000,0.000000,1726714158.231733,450212.000,6056,3,PI,1,100,160675
0.000000,0.000000,1726714158.271733,450252.000,6074,2,PI,1,100,160519
0.000000,0.000000,1726714158.311734,450292.000,6074,2,PI,1,100,160382
0.000000,0.000000,1726714158.351734,450332.000,6094,3,PI,1,100,160393
0.000000,0.000000,1726714158.391735,450372.000,6094,3,PI,1,100,160494
0.000000,0.000000,1726714158.431735,450412.000,6094,3,PI,1,100,160606
0.000000,0.000000,1726714158.471736,450452.000,6113,3,PI,1,100,160684
0.000000,0.000000,1726714158.511736,450492.000,6113,3,PI,1,100,160770
0.000000,0.000000,1726714158.551736,450532.000,6113,3,PI,1,100,160807
0.000000,0.000000,1726714158.591737,450572.000,6130,2,PI,1,100,160859
0.000000,0.000000,1726714158.631737,450612.000,6130,2,PI,1,100,160874
0.000000,0.000000,1726714158.671738,450652.000,6146,3,PI,1,100,160921
0.000000,0.000000,1726714158.711738,450692.000,6146,3,PI,1,100,160940
0.000000,0.000000,1726714158.751739,450732.000,6146,3,PI,1,100,160981
0.000000,0.000000,1726714158.791739,450772.000,6162,2,PI,1,100,161007
0.000000,0.000000,1726714158.831739,450812.000,6162,2,PI,1,100,161052
0.000000,0.000000,1726714158.871740,450852.000,6178,3,PI,1,100,161097
0.000000,0.000000,1726714158.911740,450892.000,6178,3,PI,1,100,161160
0.000000,0.000000,1726714158.951741,450932.000,6178,3,PI,1,100,161228
0.000000,0.000000,1726714158.991741,450972.000,6195,2,PI,1,100,161164
0.000000,0.000000,1726714159.031742,451012.000,6195,2,PI,1,100,160664
0.000000,0.000000,1726714159.071742,451052.000,6211,3,PI,1,100,160188
0.000000,0.000000,1726714159.111742,451092.000,6211,3,PI,1,100,160035
0.000000,0.000000,1726714159.151743,451132.000,6211,3,PI,1,100,160163
0.000000,0.000000,1726714159.191743,451172.000,6230,2,PI,1,100,160339
0.000000,0.000000,1726714159.231744,451212.000,6230,2,PI,1,100,160520
0.000000,0.000000,1726714159.271744,451252.000,6247,3,PI,1,100,160665
0.000000,0.000000,1726714159.311744,451292.000,6247,3,PI,1,100,160656
0.000000,0.000000,1726714159.351745,451332.000,6247,3,PI,1,100,160503
0.000000,0.000000,1726714159.391745,451372.000,6264,2,PI,1,100,160368
0.000000,0.000000,1726714159.431746,451412.000,6264,2,PI,1,100,160360
0.000000,0.000000,1726714159.471746,451452.000,6281,3,PI,1,100,160426
0.000000,0.000000,1726714159.511747,451492.000,6281,3,PI,1,100,160558
0.000000,0.000000,1726714159.551747,451532.000,6281,3,PI,1,100,160682
0.000000,0.000000,1726714159.591747,451572.000,6300,2,PI,1,100,160752
0.000000,0.000000,1726714159.631748,451612.000,6300,2,PI,1,100,160808
0.000000,0.000000,1726714159.671748,451652.000,6314,3,PI,1,100,160864
0.000000,0.000000,1726714159.711749,451692.000,6314,3,PI,1,100,160896
0.000000,0.000000,1726714159.751749,451732.000,6314,3,PI,1,100,160919
0.000000,0.000000,1726714159.791750,451772.000,6332,2,PI,1,100,160942
0.000000,0.000000,1726714159.831750,451812.000,6332,2,PI,1,100,160968
0.000000,0.000000,1726714159.871750,451852.000,6348,3,PI,1,100,160999
0.000000,0.000000,1726714159.911751,451892.000,6348,3,PI,1,100,161037
0.000000,0.000000,1726714159.951751,451932.000,6348,3,PI,1,100,161104
0.000000,0.000000,1726714159.991752,451972.000,6365,3,PI,1,100,161184
0.000000,0.000000,1726714160.031752,452012.000,6365,3,PI,1,100,161137
0.000000,0.000000,1726714160.071753,452052.000,6365,3,PI,1,100,160724
0.000000,0.000000,1726714160.111753,452092.000,6380,2,PI,1,100,160263
0.000000,0.000000,1726714160.151753,452132.000,6380,2,PI,1,100,160120
0.000000,0.000000,1726714160.191754,452172.000,6397,3,PI,1,100,160235
0.000000,0.000000,1726714160.231754,452212.000,6397,3,PI,1,100,160425
0.000000,0.000000,1726714160.271755,452252.000,6397,3,PI,1,100,160632
0.000000,0.000000,1726714160.311755,452292.000,6415,2,PI,1,100,160793
0.000000,0.000000,1726714160.351756,452332.000,6415,2,PI,1,100,160801
0.000000,0.000000,1726714160.391756,452372.000,6432,3,PI,1,100,160628
0.000000,0.000000,1726714160.431756,452412.000,6432,3,PI,1,100,160490
0.000000,0.000000,1726714160.471757,452452.000,6432,3,PI,1,100,160455
0.000000,0.000000,1726714160.511757,452492.000,6447,2,PI,1,100,160554
0.000000,0.000000,1726714160.551758,452532.000,6447,2,PI,1,100,160650
0.000000,0.000000,1726714160.591758,452572.000,6466,3,PI,1,100,160799
0.000000,0.000000,1726714160.631758,452612.000,6466,3,PI,1,100,160892
0.000000,0.000000,1726714160.671759,452652.000,6466,3,PI,1,100,160951
0.000000,0.000000,1726714160.711759,452692.000,6482,2,PI,1,100,161007
0.000000,0.000000,1726714160.751760,452732.000,6482,2,PI,1,100,161044
0.000000,0.000000,1726714160.791760,452772.000,6500,3,PI,1,100,161058
0.000000,0.000000,1726714160.831761,452812.000,6500,3,PI,1,100,161077
0.000000,0.000000,1726714160.871761,452852.000,6500,3,PI,1,100,161118
0.000000,0.000000,1726714160.911761,452892.000,6514,2,PI,1,100,161158
0.000000,0.000000,1726714160.951762,452932.000,6514,2,PI,1,100,161229
0.000000,0.000000,1726714160.991762,452972.000,6531,3,PI,1,100,161295
0.000000,0.000000,1726714161.031763,453012.000,6531,3,PI,1,100,161120
0.000000,0.000000,1726714161.071763,453052.000,6531,3,PI,1,100,160633
0.000000,0.000000,1726714161.118264,453098.500,6548,2,PI,1,100,160285
0.000000,0.000000,1726714161.164764,453145.000,6548,2,PI,1,100,160268
0.000000,0.000000,1726714161.204765,453185.000,6565,3,PI,1,100,160413
0.000000,0.000000,1726714161.244765,453225.000,6565,3,PI,1,100,160618
0.000000,0.000000,1726714161.284765,453265.000,6565,3,PI,1,100,160830
0.000000,0.000000,1726714161.324766,453305.000,6582,2,PI,1,100,160909
0.000000,0.000000,1726714161.364766,453345.000,6582,2,PI,1,100,160841
0.000000,0.000000,1726714161.404767,453385.000,6598,3,PI,1,100,160670
0.000000,0.000000,1726714161.444767,453425.000,6598,3,PI,1,100,160566
0.000000,0.000000,1726714161.484768,453465.000,6598,3,PI,1,100,160586
0.000000,0.000000,1726714161.524768,453505.000,6615,2,PI,1,100,160671
0.000000,0.000000,1726714161.564768,453545.000,6615,2,PI,1,100,160790
0.000000,0.000000,1726714161.604769,453585.000,6634,3,PI,1,100,160887
0.000000,0.000000,1726714161.644769,453625.000,6634,3,PI,1,100,160971
0.000000,0.000000,1726714161.684770,453665.000,6634,3,PI,1,100,161033
0.000000,0.000000,1726714161.724770,453705.000,6650,2,PI,1,100,161075
0.000000,0.000000,1726714161.764770,453745.000,6650,2,PI,1,100,161094
0.000000,0.000000,1726714161.804771,453785.000,6666,3,PI,1,100,161120
0.000000,0.000000,1726714161.844771,453825.000,6666,3,PI,1,100,161120
0.000000,0.000000,1726714161.884772,453865.000,6666,3,PI,1,100,161168
0.000000,0.000000,1726714161.924772,453905.000,6682,2,PI,1,100,161193
0.000000,0.000000,1726714161.964773,453945.000,6682,2,PI,1,100,161254
0.000000,0.000000,1726714162.004773,453985.000,6699,3,PI,1,100,161245
0.000000,0.000000,1726714162.044773,454025.000,6699,3,PI,1,100,160852
0.000000,0.000000,1726714162.084774,454065.000,6699,3,PI,1,100,160341
0.000000,0.000000,1726714162.124774,454105.000,6716,3,PI,1,100,160133
0.000000,0.000000,1726714162.164775,454145.000,6716,3,PI,1,100,160213
0.000000,0.000000,1726714162.204775,454185.000,6716,3,PI,1,100,160395
0.000000,0.000000,1726714162.244776,454225.000,6731,2,PI,1,100,160584
0.000000,0.000000,1726714162.284776,454265.000,6731,2,PI,1,100,160742
0.000000,0.000000,1726714162.324776,454305.000,6749,3,PI,1,100,160766
0.000000,0.000000,1726714162.364777,454345.000,6749,3,PI,1,100,160661
0.000000,0.000000,1726714162.404777,454385.000,6749,3,PI,1,100,160493
0.000000,0.000000,1726714162.444778,454425.000,6767,2,PI,1,100,160448
0.000000,0.000000,1726714162.484778,454465.000,6767,2,PI,1,100,160499
0.000000,0.000000,1726714162.524779,454505.000,6785,3,PI,1,100,160618
0.000000,0.000000,1726714162.564779,454545.000,6785,3,PI,1,100,160715
0.000000,0.000000,1726714162.604779,454585.000,6785,3,PI,1,100,160824
0.000000,0.000000,1726714162.644780,454625.000,6800,2,PI,1,100,160912
0.000000,0.000000,1726714162.684780,454665.000,6800,2,PI,1,100,160958
0.000000,0.000000,1726714162.724781,454705.000,6816,3,PI,1,100,160994
0.000000,0.000000,1726714162.764781,454745.000,6816,3,PI,1,100,161007
0.000000,0.000000,1726714162.804782,454785.000,6816,3,PI,1,100,161021
0.000000,0.000000,1726714162.844782,454825.000,6834,2,PI,1,100,161013
0.000000,0.000000,1726714162.884782,454865.000,6834,2,PI,1,100,161062
0.000000,0.000000,1726714162.924783,454905.000,6850,3,PI,1,100,161138
0.000000,0.000000,1726714162.964783,454945.000,6850,3,PI,1,100,161104
0.000000,0.000000,1726714163.004784,454985.000,6850,3,PI,1,100,160724
