LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
0.000000,0.000000,1726714111.471237,403452.000,63856,3,AZ,1,100,-0.337
0.000000,0.000000,1726714111.515238,403496.000,63856,3,AZ,1,100,-0.330
0.000000,0.000000,1726714111.555238,403536.000,63872,2,AZ,1,100,-0.342
0.000000,0.000000,1726714111.595239,403576.000,63872,2,AZ,1,100,-0.329
0.000000,0.000000,1726714111.635239,403616.000,63889,3,AZ,1,100,-0.340
0.000000,0.000000,1726714111.675239,403656.000,63889,3,AZ,1,100,-0.330
0.000000,0.000000,1726714111.715240,403696.000,63889,3,AZ,1,100,-0.338
0.000000,0.000000,1726714111.755240,403736.000,63903,2,AZ,1,100,-0.339
0.000000,0.000000,1726714111.795241,403776.000,63903,2,AZ,1,100,-0.330
0.000000,0.000000,1726714111.835241,403816.000,63921,3,AZ,1,100,-0.340
0.000000,0.000000,1726714111.875242,403856.000,63921,3,AZ,1,100,-0.336
0.000000,0.000000,1726714111.915242,403896.000,63921,3,AZ,1,100,-0.333
0.000000,0.000000,1726714111.955242,403936.000,63939,2,AZ,1,100,-0.335
0.000000,0.000000,1726714111.995243,403976.000,63939,2,AZ,1,100,-0.333
0.000000,0.000000,1726714112.035243,404016.000,63956,3,AZ,1,100,-0.336
0.000000,0.000000,1726714112.075244,404056.000,63956,3,AZ,1,100,-0.337
0.000000,0.000000,1726714112.115244,404096.000,63956,3,AZ,1,100,-0.335
0.000000,0.000000,1726714112.155245,404136.000,63974,2,AZ,1,100,-0.331
0.000000,0.000000,1726714112.195245,404176.000,63974,2,AZ,1,100,-0.333
0.000000,0.000000,1726714112.235245,404216.000,63990,3,AZ,1,100,-0.332
0.000000,0.000000,1726714112.275246,404256.000,63990,3,AZ,1,100,-0.336
0.000000,0.000000,1726714112.315246,404296.000,63990,3,AZ,1,100,-0.335
0.000000,0.000000,1726714112.355247,404336.000,64012,4,AZ,1,100,-0.333
0.000000,0.000000,1726714112.395247,404376.000,64012,4,AZ,1,100,-0.330
0.000000,0.000000,1726714112.435248,404416.000,64012,4,AZ,1,100,-0.335
0.000000,0.000000,1726714112.475248,404456.000,64012,4,AZ,1,100,-0.333
0.000000,0.000000,1726714112.515248,404496.000,64029,2,AZ,1,100,-0.333
0.000000,0.000000,1726714112.555249,404536.000,64029,2,AZ,1,100,-0.330
0.000000,0.000000,1726714112.595249,404576.000,64046,3,AZ,1,100,-0.335
0.000000,0.000000,1726714112.635250,404616.000,64046,3,AZ,1,100,-0.333
0.000000,0.000000,1726714112.675250,404656.000,64046,3,AZ,1,100,-0.333
0.000000,0.000000,1726714112.715250,404696.000,64062,2,AZ,1,100,-0.333
0.000000,0.000000,1726714112.755251,404736.000,64062,2,AZ,1,100,-0.333
0.000000,0.000000,1726714112.795251,404776.000,64078,3,AZ,1,100,-0.337
0.000000,0.000000,1726714112.835252,404816.000,64078,3,AZ,1,100,-0.333
0.000000,0.000000,1726714112.875252,404856.000,64078,3,AZ,1,100,-0.337
0.000000,0.000000,1726714112.915253,404896.000,64096,2,AZ,1,100,-0.328
0.000000,0.000000,1726714112.955253,404936.000,64096,2,AZ,1,100,-0.334
0.000000,0.000000,1726714112.995253,404976.000,64113,3,AZ,1,100,-0.333
0.000000,0.000000,1726714113.035254,405016.000,64113,3,AZ,1,100,-0.335
0.000000,0.000000,1726714113.075254,405056.000,64113,3,AZ,1,100,-0.333
0.000000,0.000000,1726714113.115255,405096.000,64132,2,AZ,1,100,-0.333
0.000000,0.000000,1726714113.155255,405136.000,64132,2,AZ,1,100,-0.332
0.000000,0.000000,1726714113.195256,405176.000,64147,3,AZ,1,100,-0.333
0.000000,0.000000,1726714113.235256,405216.000,64147,3,AZ,1,100,-0.335
0.000000,0.000000,1726714113.275256,405256.000,64147,3,AZ,1,100,-0.330
0.000000,0.000000,1726714113.315257,405296.000,64163,2,AZ,1,100,-0.332
0.000000,0.000000,1726714113.355257,405336.000,64163,2,AZ,1,100,-0.328
0.000000,0.000000,1726714113.395258,405376.000,64180,3,AZ,1,100,-0.333
0.000000,0.000000,1726714113.435258,405416.000,64180,3,AZ,1,100,-0.329
0.000000,0.000000,1726714113.475259,405456.000,64180,3,AZ,1,100,-0.336
0.000000,0.000000,1726714113.515259,405496.000,64197,3,AZ,1,100,-0.328
0.000000,0.000000,1726714113.555259,405536.000,64197,3,AZ,1,100,-0.333
