LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
0.000000,0.000000,1726714004.844107,296826.000,46371,1,SF,1,100,6.3155
0.000000,0.000000,1726714005.177110,297159.000,46429,1,SF,1,100,6.2425
0.000000,0.000000,1726714005.511114,297493.000,46477,1,SF,1,100,6.1702
0.000000,0.000000,1726714005.911118,297893.000,46542,1,SF,1,100,6.0989
0.000000,0.000000,1726714006.177121,298159.000,46595,1,SF,1,100,6.0283
0.000000,0.000000,1726714006.511125,298493.000,46643,1,SF,1,100,5.9586
0.000000,0.000000,1726714006.844128,298826.000,46692,1,SF,1,100,5.8897
0.000000,0.000000,1726714007.244132,299226.000,46759,1,SF,1,100,5.8215
0.000000,0.000000,1726714007.511135,299493.000,46811,1,SF,1,100,5.7542
0.000000,0.000000,1726714007.844139,299826.000,46860,1,SF,1,100,5.6876
0.000000,0.000000,1726714008.244143,300226.000,46925,1,SF,1,100,5.6218
0.000000,0.000000,1726714008.510146,300492.000,46977,1,SF,1,100,5.5568
0.000000,0.000000,1726714008.844149,300826.000,47027,1,SF,1,100,5.4925
0.000000,0.000000,1726714009.177153,301159.000,47076,1,SF,1,100,5.4290
0.000000,0.000000,1726714009.577157,301559.000,47143,1,SF,1,100,5.3662
0.000000,0.000000,1726714009.844160,301826.000,47194,1,SF,1,100,5.3041
0.000000,0.000000,1726714010.177163,302159.000,47249,1,SF,1,100,5.2427
0.000000,0.000000,1726714010.510167,302492.000,47298,1,SF,1,100,5.1821
0.000000,0.000000,1726714010.843170,302825.000,47348,1,SF,1,100,5.1221
0.000000,0.000000,1726714011.244175,303226.000,47413,1,SF,1,100,5.0629
0.000000,0.000000,1726714011.510178,303492.000,47464,1,SF,1,100,5.0043
0.000000,0.000000,1726714011.843181,303825.000,47514,1,SF,1,100,4.9464
0.000000,0.000000,1726714012.243185,304225.000,47581,1,SF,1,100,4.8892
0.000000,0.000000,1726714012.577189,304559.000,47630,1,SF,1,100,4.8326
0.000000,0.000000,1726714012.843192,304825.000,47680,1,SF,1,100,4.7767
0.000000,0.000000,1726714013.177195,305159.000,47731,1,SF,1,100,4.7215
0.000000,0.000000,1726714013.577199,305559.000,47796,1,SF,1,100,4.6669
0.000000,0.000000,1726714013.843202,305825.000,47844,1,SF,1,100,4.6129
0.000000,0.000000,1726714014.176206,306158.000,47893,1,SF,1,100,4.5595
0.000000,0.000000,1726714014.576210,306558.000,47963,1,SF,1,100,4.5068
0.000000,0.000000,1726714014.910214,306892.000,48012,1,SF,1,100,4.4546
0.000000,0.000000,1726714015.243217,307225.000,48066,1,SF,1,100,4.4031
0.000000,0.000000,1726714015.510220,307492.000,48120,1,SF,1,100,4.3522
0.000000,0.000000,1726714015.843223,307825.000,48169,1,SF,1,100,4.3018
0.000000,0.000000,1726714016.243228,308225.000,48234,1,SF,1,100,4.2521
0.000000,0.000000,1726714016.510231,308492.000,48284,1,SF,1,100,4.2029
0.000000,0.000000,1726714016.843234,308825.000,48337,1,SF,1,100,4.1542
0.000000,0.000000,1726714017.176238,309158.000,48385,1,SF,1,100,4.1062
0.000000,0.000000,1726714017.576242,309558.000,48452,1,SF,1,100,4.0587
0.000000,0.000000,1726714017.843245,309825.000,48503,1,SF,1,100,4.0117
0.000000,0.000000,1726714018.176248,310158.000,48551,1,SF,1,100,3.9653
0.000000,0.000000,1726714018.576252,310558.000,48617,1,SF,1,100,3.9195
0.000000,0.000000,1726714018.909256,310891.000,48669,1,SF,1,100,3.8741
0.000000,0.000000,1726714019.176259,311158.000,48717,1,SF,1,100,3.8293
0.000000,0.000000,1726714019.509262,311491.000,48768,1,SF,1,100,3.7850
0.000000,0.000000,1726714019.909267,311891.000,48835,1,SF,1,100,3.7412
0.000000,0.000000,1726714020.176269,312158.000,48885,1,SF,1,100,3.6979
0.000000,0.000000,1726714020.576274,312558.000,48937,1,SF,1,100,3.6552
0.000000,0.000000,1726714020.843276,312825.000,48987,1,SF,1,100,3.6129
0.000000,0.000000,1726714021.176280,313158.000,49038,1,SF,1,100,3.5711
0.000000,0.000000,1726714021.576284,313558.000,49103,1,SF,1,100,3.5298
0.000000,0.000000,1726714021.843287,313825.000,49151,1,SF,1,100,3.4889
0.000000,0.000000,1726714022.176291,314158.000,49205,1,SF,1,100,3.4486
0.000000,0.000000,1726714022.509294,314491.000,49254,1,SF,1,100,3.4087
0.000000,0.000000,1726714022.909298,314891.000,49319,1,SF,1,100,3.3693
0.000000,0.000000,1726714023.176301,315158.000,49370,1,SF,1,100,3.3303
0.000000,0.000000,1726714023.509305,315491.000,49420,1,SF,1,100,3.2918
0.000000,0.000000,1726714023.909309,315891.000,49485,1,SF,1,100,3.2537
0.000000,0.000000,1726714024.175312,316157.000,49538,1,SF,1,100,3.2160
0.000000,0.000000,1726714024.509315,316491.000,49590,1,SF,1,100,3.1788
0.000000,0.000000,1726714024.842319,316824.000,49639,1,SF,1,100,3.1421
0.000000,0.000000,1726714025.242323,317224.000,49706,1,SF,1,100,3.1057
0.000000,0.000000,1726714025.576327,317558.000,49763,1,SF,1,100,3.0698
0.000000,0.000000,1726714025.842329,317824.000,49812,1,SF,1,100,3.0343
0.000000,0.000000,1726714026.175333,318157.000,49864,1,SF,1,100,2.9992
0.000000,0.000000,1726714026.509337,318491.000,49915,1,SF,1,100,2.9645
0.000000,0.000000,1726714026.909341,318891.000,49980,1,SF,1,100,2.9302
0.000000,0.000000,1726714027.175344,319157.000,50030,1,SF,1,100,2.8963
0.000000,0.000000,1726714027.508347,319490.000,50079,1,SF,1,100,2.8628
0.000000,0.000000,1726714027.908351,319890.000,50145,1,SF,1,100,2.8297
0.000000,0.000000,1726714028.242355,320224.000,50196,1,SF,1,100,2.7969
