LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
0.000000,0.000000,1726713976.239804,268222.000,41741,1,T1,1,100,33.720
0.000000,0.000000,1726713976.372805,268355.000,41759,1,T1,1,100,33.737
0.000000,0.000000,1726713976.506806,268489.000,41777,1,T1,1,100,33.780
0.000000,0.000000,1726713976.639808,268622.000,41808,1,T1,1,100,33.763
0.000000,0.000000,1726713976.772809,268755.000,41824,1,T1,1,100,33.685
0.000000,0.000000,1726713976.906811,268889.000,41842,1,T1,1,100,33.722
0.000000,0.000000,1726713977.039812,269022.000,41873,1,T1,1,100,33.773
0.000000,0.000000,1726713977.172813,269155.000,41890,1,T1,1,100,33.725
0.000000,0.000000,1726713977.306815,269289.000,41907,1,T1,1,100,33.845
0.000000,0.000000,1726713977.439816,269422.000,41939,1,T1,1,100,33.827
