LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
0.000000,0.000000,1726713972.478764,264461.000,41115,4,EM,1,100,PS
0.000000,0.000000,1726713972.529014,264511.250,41147,4,EM,1,100,RS
0.000000,0.000000,1726713972.579265,264561.500,41147,4,EM,1,100,RB
0.000000,0.000000,1726713972.629515,264611.750,41147,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713972.679766,264662.000,41147,4,EM,1,100,PS
0.000000,0.000000,1726713972.730016,264712.250,41180,4,EM,1,100,RS
0.000000,0.000000,1726713972.780267,264762.500,41180,4,EM,1,100,RB
0.000000,0.000000,1726713972.830517,264812.750,41180,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713972.880768,264863.000,41180,4,EM,1,100,PS
0.000000,0.000000,1726713972.931019,264913.250,41212,4,EM,1,100,RS
0.000000,0.000000,1726713972.981269,264963.500,41212,4,EM,1,100,RB
0.000000,0.000000,1726713973.031520,265013.750,41212,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713973.081770,265064.000,41212,4,EM,1,100,PS
0.000000,0.000000,1726713973.132021,265114.250,41248,4,EM,1,100,RS
0.000000,0.000000,1726713973.182271,265164.500,41248,4,EM,1,100,RB
0.000000,0.000000,1726713973.232522,265214.750,41248,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713973.282772,265265.000,41248,4,EM,1,100,PS
0.000000,0.000000,1726713973.333023,265315.250,41281,4,EM,1,100,RS
0.000000,0.000000,1726713973.383273,265365.500,41281,4,EM,1,100,RB
0.000000,0.000000,1726713973.433524,265415.750,41281,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713973.483774,265466.000,41281,4,EM,1,100,PS
0.000000,0.000000,1726713973.534025,265516.250,41315,4,EM,1,100,RS
0.000000,0.000000,1726713973.584275,265566.500,41315,4,EM,1,100,RB
0.000000,0.000000,1726713973.634526,265616.750,41315,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713973.684777,265667.000,41315,4,EM,1,100,PS
0.000000,0.000000,1726713973.735777,265718.000,41347,4,EM,1,100,RS
0.000000,0.000000,1726713973.786778,265769.000,41347,4,EM,1,100,RB
0.000000,0.000000,1726713973.837778,265820.000,41347,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713973.888779,265871.000,41347,4,EM,1,100,PS
0.000000,0.000000,1726713973.939029,265921.250,41380,4,EM,1,100,RS
0.000000,0.000000,1726713973.989280,265971.500,41380,4,EM,1,100,RB
0.000000,0.000000,1726713974.039530,266021.750,41380,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713974.089781,266072.000,41380,4,EM,1,100,PS
0.000000,0.000000,1726713974.140281,266122.500,41406,4,EM,1,100,RS
0.000000,0.000000,1726713974.190782,266173.000,41406,4,EM,1,100,RB
0.000000,0.000000,1726713974.241282,266223.500,41406,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713974.291783,266274.000,41406,4,EM,1,100,PS
0.000000,0.000000,1726713974.342283,266324.500,41440,4,EM,1,100,RS
0.000000,0.000000,1726713974.392784,266375.000,41440,4,EM,1,100,RB
0.000000,0.000000,1726713974.443285,266425.500,41440,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713974.493785,266476.000,41440,4,EM,1,100,PS
0.000000,0.000000,1726713974.544036,266526.250,41472,4,EM,1,100,RS
0.000000,0.000000,1726713974.594286,266576.500,41472,4,EM,1,100,RB
0.000000,0.000000,1726713974.644537,266626.750,41472,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713974.694787,266677.000,41472,4,EM,1,100,PS
0.000000,0.000000,1726713974.745038,266727.250,41505,4,EM,1,100,RS
0.000000,0.000000,1726713974.795288,266777.500,41505,4,EM,1,100,RB
0.000000,0.000000,1726713974.845539,266827.750,41505,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713974.895789,266878.000,41505,4,EM,1,100,PS
0.000000,0.000000,1726713974.946040,266928.250,41537,4,EM,1,100,RS
0.000000,0.000000,1726713974.996290,266978.500,41537,4,EM,1,100,RB
0.000000,0.000000,1726713975.046541,267028.750,41537,4,EM,1,100,2024-09-18_22-46-06-359329.csv
