LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
0.000000,0.000000,1726714130.713441,422694.000,1516,3,MX,1,100,-19
0.000000,0.000000,1726714130.753442,422734.000,1516,3,MX,1,100,-19
0.000000,0.000000,1726714130.793442,422774.000,1516,3,MX,1,100,-19
0.000000,0.000000,1726714130.833443,422814.000,1534,2,MX,1,100,-18
0.000000,0.000000,1726714130.873443,422854.000,1534,2,MX,1,100,-19
0.000000,0.000000,1726714130.913443,422894.000,1550,3,MX,1,100,-19
0.000000,0.000000,1726714130.953444,422934.000,1550,3,MX,1,100,-19
0.000000,0.000000,1726714130.993444,422974.000,1550,3,MX,1,100,-18
0.000000,0.000000,1726714131.033445,423014.000,1566,2,MX,1,100,-19
0.000000,0.000000,1726714131.073445,423054.000,1566,2,MX,1,100,-19
0.000000,0.000000,1726714131.113446,423094.000,1584,3,MX,1,100,-19
0.000000,0.000000,1726714131.153446,423134.000,1584,3,MX,1,100,-19
0.000000,0.000000,1726714131.193446,423174.000,1584,3,MX,1,100,-19
0.000000,0.000000,1726714131.233447,423214.000,1600,2,MX,1,100,-19
0.000000,0.000000,1726714131.273447,423254.000,1600,2,MX,1,100,-19
0.000000,0.000000,1726714131.313448,423294.000,1615,3,MX,1,100,-19
0.000000,0.000000,1726714131.353448,423334.000,1615,3,MX,1,100,-20
0.000000,0.000000,1726714131.393448,423374.000,1615,3,MX,1,100,-19
0.000000,0.000000,1726714131.433449,423414.000,1632,2,MX,1,100,-19
0.000000,0.000000,1726714131.473449,423454.000,1632,2,MX,1,100,-18
0.000000,0.000000,1726714131.513450,423494.000,1649,3,MX,1,100,-20
0.000000,0.000000,1726714131.553450,423534.000,1649,3,MX,1,100,-19
0.000000,0.000000,1726714131.593451,423574.000,1649,3,MX,1,100,-20
0.000000,0.000000,1726714131.633451,423614.000,1667,2,MX,1,100,-20
0.000000,0.000000,1726714131.673451,423654.000,1667,2,MX,1,100,-19
0.000000,0.000000,1726714131.713452,423694.000,1682,3,MX,1,100,-19
0.000000,0.000000,1726714131.753452,423734.000,1682,3,MX,1,100,-19
0.000000,0.000000,1726714131.793453,423774.000,1682,3,MX,1,100,-19
0.000000,0.000000,1726714131.833453,423814.000,1701,3,MX,1,100,-19
0.000000,0.000000,1726714131.873454,423854.000,1701,3,MX,1,100,-20
0.000000,0.000000,1726714131.913454,423894.000,1701,3,MX,1,100,-18
0.000000,0.000000,1726714131.953454,423934.000,1718,2,MX,1,100,-19
0.000000,0.000000,1726714131.993455,423974.000,1718,2,MX,1,100,-19
0.000000,0.000000,1726714132.033455,424014.000,1734,3,MX,1,100,-19
0.000000,0.000000,1726714132.073456,424054.000,1734,3,MX,1,100,-19
0.000000,0.000000,1726714132.113456,424094.000,1734,3,MX,1,100,-19
0.000000,0.000000,1726714132.153457,424134.000,1750,2,MX,1,100,-20
