EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1855933.000,35741,3,AZ,1,100,-0.386
1855973.000,35741,3,AZ,1,100,-0.390
1856013.000,35755,3,AZ,1,100,-0.392
1856053.000,35755,3,AZ,1,100,-0.380
1856093.000,35755,3,AZ,1,100,-0.388
1856133.000,35772,2,AZ,1,100,-0.390
1856173.000,35772,2,AZ,1,100,-0.380
1856213.000,35788,3,AZ,1,100,-0.388
1856253.000,35788,3,AZ,1,100,-0.388
1856293.000,35788,3,AZ,1,100,-0.385
1856333.000,35808,2,AZ,1,100,-0.386
1856373.000,35808,2,AZ,1,100,-0.378
1856413.000,35823,3,AZ,1,100,-0.381
1856453.000,35823,3,AZ,1,100,-0.395
1856493.000,35823,3,AZ,1,100,-0.389
1856533.000,35839,2,AZ,1,100,-0.379
1856573.000,35839,2,AZ,1,100,-0.385
1856613.000,35856,3,AZ,1,100,-0.392
1856653.000,35856,3,AZ,1,100,-0.390
1856693.000,35856,3,AZ,1,100,-0.382
1856733.000,35873,2,AZ,1,100,-0.381
1856773.000,35873,2,AZ,1,100,-0.390
1856813.000,35889,3,AZ,1,100,-0.393
1856853.000,35889,3,AZ,1,100,-0.386
1856893.000,35889,3,AZ,1,100,-0.382
1856933.000,35912,4,AZ,1,100,-0.393
1856973.000,35912,4,AZ,1,100,-0.392
1857013.000,35912,4,AZ,1,100,-0.383
1857053.000,35912,4,AZ,1,100,-0.383
1857093.000,35926,2,AZ,1,100,-0.389
1857133.000,35926,2,AZ,1,100,-0.392
1857173.000,35943,3,AZ,1,100,-0.387
1857213.000,35943,3,AZ,1,100,-0.385
1857253.000,35943,3,AZ,1,100,-0.390
1857293.000,35960,2,AZ,1,100,-0.391
1857333.000,35960,2,AZ,1,100,-0.385
1857373.000,35977,3,AZ,1,100,-0.383
1857413.000,35977,3,AZ,1,100,-0.385
1857453.000,35977,3,AZ,1,100,-0.391
1857492.500,35992,2,AZ,1,100,-0.387
1857532.000,35992,2,AZ,1,100,-0.381
1857572.000,36009,3,AZ,1,100,-0.389
1857612.000,36009,3,AZ,1,100,-0.391
1857652.000,36009,3,AZ,1,100,-0.388
1857692.333,36025,3,AZ,1,100,-0.386
1857732.667,36025,3,AZ,1,100,-0.386
1857773.000,36025,3,AZ,1,100,-0.392
1857812.500,36042,2,AZ,1,100,-0.387
1857852.000,36042,2,AZ,1,100,-0.384
1857892.000,36059,3,AZ,1,100,-0.388
1857932.000,36059,3,AZ,1,100,-0.388
1857972.000,36059,3,AZ,1,100,-0.387
1858012.500,36074,2,AZ,1,100,-0.388
