EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1891368.000,41325,1,SF,1,100,0.7478
1891635.000,41376,1,SF,1,100,0.7391
1891968.000,41424,1,SF,1,100,0.7306
1892302.000,41473,1,SF,1,100,0.7221
1892702.000,41538,1,SF,1,100,0.7138
1893035.000,41594,1,SF,1,100,0.7055
1893302.000,41643,1,SF,1,100,0.6974
1893635.000,41692,1,SF,1,100,0.6893
1893968.000,41742,1,SF,1,100,0.6813
1894368.000,41807,1,SF,1,100,0.6734
1894635.000,41855,1,SF,1,100,0.6657
1894968.000,41904,1,SF,1,100,0.6580
1895368.000,41969,1,SF,1,100,0.6503
1895635.000,42019,1,SF,1,100,0.6428
1895968.000,42068,1,SF,1,100,0.6354
1896301.000,42116,1,SF,1,100,0.6280
1896701.000,42183,1,SF,1,100,0.6208
1896968.000,42234,1,SF,1,100,0.6136
1897301.000,42282,1,SF,1,100,0.6065
1897701.000,42347,1,SF,1,100,0.5995
1898034.000,42401,1,SF,1,100,0.5925
1898368.000,42451,1,SF,1,100,0.5857
1898634.000,42500,1,SF,1,100,0.5789
1898968.000,42548,1,SF,1,100,0.5722
1899368.000,42613,1,SF,1,100,0.5656
1899634.000,42664,1,SF,1,100,0.5591
1899968.000,42712,1,SF,1,100,0.5526
1900301.000,42761,1,SF,1,100,0.5462
1900701.000,42826,1,SF,1,100,0.5399
1900967.000,42876,1,SF,1,100,0.5336
1901301.000,42925,1,SF,1,100,0.5275
1901701.000,42992,1,SF,1,100,0.5214
1901967.000,43040,1,SF,1,100,0.5153
1902301.000,43075,1,SF,1,100,0.5094
1902701.000,43140,1,SF,1,100,0.5035
1902967.000,43190,1,SF,1,100,0.4976
1903367.000,43242,1,SF,1,100,0.4919
1903634.000,43292,1,SF,1,100,0.4862
1903967.000,43341,1,SF,1,100,0.4806
1904367.000,43406,1,SF,1,100,0.4750
1904634.000,43440,1,SF,1,100,0.4695
1905034.000,43505,1,SF,1,100,0.4641
1905301.000,43553,1,SF,1,100,0.4587
1905634.000,43602,1,SF,1,100,0.4534
1906034.000,43667,1,SF,1,100,0.4482
1906300.000,43717,1,SF,1,100,0.4430
1906634.000,43768,1,SF,1,100,0.4379
1906967.000,43816,1,SF,1,100,0.4328
1907367.000,43882,1,SF,1,100,0.4278
1907634.000,43932,1,SF,1,100,0.4228
1907967.000,43980,1,SF,1,100,0.4179
1908367.000,44036,1,SF,1,100,0.4131
1908633.000,44084,1,SF,1,100,0.4083
1908967.000,44134,1,SF,1,100,0.4036
1909300.000,44183,1,SF,1,100,0.3989
1909700.000,44248,1,SF,1,100,0.3943
1909967.000,44297,1,SF,1,100,0.3898
1910300.000,44346,1,SF,1,100,0.3853
1910700.000,44411,1,SF,1,100,0.3808
1911033.000,44461,1,SF,1,100,0.3764
1911367.000,44510,1,SF,1,100,0.3720
1911633.000,44562,1,SF,1,100,0.3677
1911966.000,44611,1,SF,1,100,0.3635
1912366.000,44676,1,SF,1,100,0.3593
1912633.000,44724,1,SF,1,100,0.3551
1912966.000,44774,1,SF,1,100,0.3510
1913366.000,44827,1,SF,1,100,0.3470
