EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1844788.000,33930,3,PR,1,100,138373
1844828.000,33930,3,PR,1,100,138384
1844868.000,33947,2,PR,1,100,138393
1844908.000,33947,2,PR,1,100,138408
1844948.000,33964,3,PR,1,100,138433
1844988.000,33964,3,PR,1,100,138435
1845028.000,33964,3,PR,1,100,138457
1845068.000,33980,2,PR,1,100,138466
1845108.000,33980,2,PR,1,100,138480
1845148.000,33997,3,PR,1,100,138502
1845188.000,33997,3,PR,1,100,138530
1845228.000,33997,3,PR,1,100,138578
1845268.000,34015,2,PR,1,100,138581
1845308.000,34015,2,PR,1,100,138595
1845348.000,34031,3,PR,1,100,138601
1845388.000,34031,3,PR,1,100,138599
1845428.000,34031,3,PR,1,100,138588
1845468.000,34048,2,PR,1,100,138598
1845508.000,34048,2,PR,1,100,138611
1845548.000,34063,3,PR,1,100,138601
1845588.000,34063,3,PR,1,100,138619
1845628.000,34063,3,PR,1,100,138623
1845668.000,34080,3,PR,1,100,138644
1845708.000,34080,3,PR,1,100,138656
1845748.000,34080,3,PR,1,100,138658
1845788.000,34096,2,PR,1,100,138677
1845828.000,34096,2,PR,1,100,138719
1845868.000,34113,3,PR,1,100,138718
1845908.000,34113,3,PR,1,100,138726
1845948.000,34113,3,PR,1,100,138746
1845988.000,34128,2,PR,1,100,138759
1846028.000,34128,2,PR,1,100,138758
1846068.000,34147,3,PR,1,100,138786
1846108.000,34147,3,PR,1,100,138785
1846148.000,34147,3,PR,1,100,138789
1846188.000,34163,2,PR,1,100,138801
1846228.000,34163,2,PR,1,100,138812
1846268.000,34181,2,PR,1,100,138812
1846308.000,34181,2,PR,1,100,138822
1846352.333,34197,3,PR,1,100,138793
1846396.667,34197,3,PR,1,100,138770
1846441.000,34197,3,PR,1,100,138752
1846481.000,34214,3,PR,1,100,138717
1846521.000,34214,3,PR,1,100,138737
1846561.000,34214,3,PR,1,100,138758
1846601.000,34231,2,PR,1,100,138763
1846641.000,34231,2,PR,1,100,138755
1846681.000,34253,4,PR,1,100,138750
1846721.000,34253,4,PR,1,100,138783
1846761.000,34253,4,PR,1,100,138798
1846801.000,34253,4,PR,1,100,138794
1846841.000,34269,2,PR,1,100,138869
1846881.000,34269,2,PR,1,100,138947
1846921.000,34289,3,PR,1,100,138969
1846961.000,34289,3,PR,1,100,138947
1847001.000,34289,3,PR,1,100,138889
1847041.000,34303,2,PR,1,100,138853
1847081.000,34303,2,PR,1,100,138835
1847121.000,34320,3,PR,1,100,138798
1847161.000,34320,3,PR,1,100,138759
1847201.000,34320,3,PR,1,100,138713
1847241.000,34337,2,PR,1,100,138696
1847281.000,34337,2,PR,1,100,138630
1847321.000,34354,3,PR,1,100,138615
1847361.000,34354,3,PR,1,100,138602
1847401.000,34354,3,PR,1,100,138566
1847441.000,34368,3,PR,1,100,138508
1847481.000,34368,3,PR,1,100,138478
1847521.000,34368,3,PR,1,100,138428
1847561.000,34385,2,PR,1,100,138414
1847601.000,34385,2,PR,1,100,138419
1847641.000,34402,3,PR,1,100,138388
1847681.000,34402,3,PR,1,100,138387
1847721.000,34402,3,PR,1,100,138363
1847761.000,34419,2,PR,1,100,138361
1847801.000,34419,2,PR,1,100,138330
1847841.000,34433,3,PR,1,100,138270
1847881.000,34433,3,PR,1,100,138250
1847921.000,34433,3,PR,1,100,138227
1847961.000,34451,2,PR,1,100,138097
1848001.000,34451,2,PR,1,100,137856
1848041.000,34467,3,PR,1,100,137623
1848081.000,34467,3,PR,1,100,137342
1848121.000,34467,3,PR,1,100,137293
1848161.000,34484,2,PR,1,100,137095
1848201.000,34484,2,PR,1,100,136972
1848241.000,34499,3,PR,1,100,136980
1848281.000,34499,3,PR,1,100,136933
1848321.000,34499,3,PR,1,100,136907
1848361.000,34516,2,PR,1,100,136930
1848401.000,34516,2,PR,1,100,136946
1848441.000,34532,3,PR,1,100,136886
1848481.000,34532,3,PR,1,100,136914
1848521.000,34532,3,PR,1,100,136879
1848561.000,34549,2,PR,1,100,136856
