EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1844369.667,33869,3,AX,1,100,0.865
1844414.000,33869,3,AX,1,100,0.854
1844454.000,33888,2,AX,1,100,0.849
1844494.000,33888,2,AX,1,100,0.846
1844534.000,33902,3,AX,1,100,0.838
1844574.000,33902,3,AX,1,100,0.851
1844614.000,33902,3,AX,1,100,0.865
1844654.000,33920,2,AX,1,100,0.831
1844694.000,33920,2,AX,1,100,0.851
1844734.000,33936,3,AX,1,100,0.852
1844774.000,33936,3,AX,1,100,0.847
1844814.000,33936,3,AX,1,100,0.859
1844854.000,33953,3,AX,1,100,0.855
1844894.000,33953,3,AX,1,100,0.845
1844934.000,33953,3,AX,1,100,0.865
1844974.000,33969,2,AX,1,100,0.859
1845014.000,33969,2,AX,1,100,0.844
1845054.000,33985,3,AX,1,100,0.854
1845094.000,33985,3,AX,1,100,0.838
1845134.000,33985,3,AX,1,100,0.859
1845174.000,34003,2,AX,1,100,0.868
1845214.000,34003,2,AX,1,100,0.852
1845254.000,34021,3,AX,1,100,0.850
1845294.000,34021,3,AX,1,100,0.855
1845334.000,34021,3,AX,1,100,0.859
1845374.000,34037,2,AX,1,100,0.843
1845414.000,34037,2,AX,1,100,0.848
1845454.000,34052,3,AX,1,100,0.858
1845494.000,34052,3,AX,1,100,0.831
1845534.000,34052,3,AX,1,100,0.851
1845574.000,34069,2,AX,1,100,0.871
1845614.000,34069,2,AX,1,100,0.846
1845654.000,34086,3,AX,1,100,0.838
1845694.000,34086,3,AX,1,100,0.857
1845734.000,34086,3,AX,1,100,0.844
1845774.000,34102,2,AX,1,100,0.860
1845814.000,34102,2,AX,1,100,0.857
1845854.000,34117,3,AX,1,100,0.837
1845894.000,34117,3,AX,1,100,0.861
1845934.000,34117,3,AX,1,100,0.850
1845974.000,34134,3,AX,1,100,0.859
1846014.000,34134,3,AX,1,100,0.862
1846054.000,34134,3,AX,1,100,0.838
1846094.000,34153,2,AX,1,100,0.858
1846134.000,34153,2,AX,1,100,0.855
1846174.000,34169,3,AX,1,100,0.871
1846214.000,34169,3,AX,1,100,0.842
1846254.000,34169,3,AX,1,100,0.849
1846294.000,34185,2,AX,1,100,0.864
1846334.000,34185,2,AX,1,100,0.849
1846369.667,34203,3,AX,1,100,0.857
1846405.333,34203,3,AX,1,100,0.867
1846441.000,34203,3,AX,1,100,0.866
1846481.000,34220,2,AX,1,100,0.844
1846521.000,34220,2,AX,1,100,0.853
1846561.000,34237,3,AX,1,100,0.881
1846601.000,34237,3,AX,1,100,0.855
1846641.000,34237,3,AX,1,100,0.880
1846685.000,34259,3,AX,1,100,0.856
1846729.000,34259,3,AX,1,100,0.850
1846773.000,34259,3,AX,1,100,0.883
1846813.333,34275,3,AX,1,100,0.856
1846853.667,34275,3,AX,1,100,0.874
1846894.000,34275,3,AX,1,100,0.864
1846934.000,34293,2,AX,1,100,0.853
1846974.000,34293,2,AX,1,100,0.882
1847013.667,34309,3,AX,1,100,0.852
1847053.333,34309,3,AX,1,100,0.864
1847093.000,34309,3,AX,1,100,0.857
1847133.333,34326,3,AX,1,100,0.860
1847173.667,34326,3,AX,1,100,0.876
1847214.000,34326,3,AX,1,100,0.867
1847254.000,34343,2,AX,1,100,0.861
1847294.000,34343,2,AX,1,100,0.869
1847334.000,34358,3,AX,1,100,0.904
1847374.000,34358,3,AX,1,100,0.876
1847414.000,34358,3,AX,1,100,0.877
1847454.000,34374,2,AX,1,100,0.886
1847494.000,34374,2,AX,1,100,0.861
1847534.000,34391,3,AX,1,100,0.907
1847574.000,34391,3,AX,1,100,0.890
1847614.000,34391,3,AX,1,100,0.882
1847653.500,34408,2,AX,1,100,0.899
1847693.000,34408,2,AX,1,100,0.907
1847733.333,34423,3,AX,1,100,0.893
1847773.667,34423,3,AX,1,100,0.901
1847814.000,34423,3,AX,1,100,0.902
1847854.000,34439,2,AX,1,100,0.867
1847894.000,34439,2,AX,1,100,0.965
1847933.667,34457,3,AX,1,100,1.057
1847973.333,34457,3,AX,1,100,0.934
1848013.000,34457,3,AX,1,100,0.676
1848053.500,34473,2,AX,1,100,0.770
1848094.000,34473,2,AX,1,100,0.788
1848134.000,34488,3,AX,1,100,0.760
1848174.000,34488,3,AX,1,100,0.765
1848214.000,34488,3,AX,1,100,0.822
1848253.667,34505,3,AX,1,100,0.789
1848293.333,34505,3,AX,1,100,0.782
1848333.000,34505,3,AX,1,100,0.802
1848373.000,34522,2,AX,1,100,0.819
1848413.000,34522,2,AX,1,100,0.783
1848453.000,34538,3,AX,1,100,0.771
1848493.000,34538,3,AX,1,100,0.795
1848533.000,34538,3,AX,1,100,0.809
1848573.000,34554,2,AX,1,100,0.803
1848613.000,34554,2,AX,1,100,0.775
