EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1851293.000,34998,3,AY,1,100,-0.467
1851333.000,34998,3,AY,1,100,-0.009
1851373.000,34998,3,AY,1,100,-0.154
1851413.000,35015,2,AY,1,100,-0.076
1851453.000,35015,2,AY,1,100,0.016
1851493.000,35031,3,AY,1,100,0.358
1851533.000,35031,3,AY,1,100,0.164
1851573.000,35031,3,AY,1,100,0.071
1851613.000,35047,2,AY,1,100,0.175
1851653.000,35047,2,AY,1,100,0.174
1851693.000,35063,3,AY,1,100,0.075
1851733.000,35063,3,AY,1,100,0.211
1851773.000,35063,3,AY,1,100,0.196
1851813.000,35085,4,AY,1,100,0.408
1851853.000,35085,4,AY,1,100,0.303
1851893.000,35085,4,AY,1,100,0.173
1851933.000,35085,4,AY,1,100,0.189
1851973.000,35102,2,AY,1,100,0.171
1852013.000,35102,2,AY,1,100,0.123
1852053.000,35119,3,AY,1,100,0.142
1852093.000,35119,3,AY,1,100,0.037
1852133.000,35119,3,AY,1,100,-0.073
1852173.000,35134,2,AY,1,100,-0.044
1852213.000,35134,2,AY,1,100,-0.020
1852253.000,35151,3,AY,1,100,0.035
1852293.000,35151,3,AY,1,100,-0.030
1852333.000,35151,3,AY,1,100,-0.042
1852373.000,35167,2,AY,1,100,0.035
1852413.000,35167,2,AY,1,100,-0.007
1852453.000,35184,3,AY,1,100,-0.055
1852493.000,35184,3,AY,1,100,-0.002
1852533.000,35184,3,AY,1,100,-0.059
1852573.000,35201,2,AY,1,100,-0.031
1852613.000,35201,2,AY,1,100,-0.019
1852653.000,35216,3,AY,1,100,-0.066
1852693.000,35216,3,AY,1,100,-0.105
1852733.000,35216,3,AY,1,100,-0.147
1852773.000,35232,2,AY,1,100,0.045
1852813.000,35232,2,AY,1,100,-0.167
1852853.000,35249,3,AY,1,100,-0.045
1852893.000,35249,3,AY,1,100,-0.052
1852933.000,35249,3,AY,1,100,-0.049
1852973.000,35266,2,AY,1,100,-0.042
1853013.000,35266,2,AY,1,100,-0.042
1853053.000,35281,3,AY,1,100,-0.059
1853093.000,35281,3,AY,1,100,-0.061
1853133.000,35281,3,AY,1,100,-0.058
1853173.000,35297,3,AY,1,100,-0.160
1853213.000,35297,3,AY,1,100,-0.006
1853253.000,35297,3,AY,1,100,-0.021
1853293.000,35315,2,AY,1,100,0.092
1853333.000,35315,2,AY,1,100,0.039
1853373.000,35331,3,AY,1,100,0.045
1853413.000,35331,3,AY,1,100,0.023
1853453.000,35331,3,AY,1,100,0.035
1853493.000,35346,2,AY,1,100,-0.151
1853533.000,35346,2,AY,1,100,-0.053
1853573.000,35363,3,AY,1,100,0.010
1853613.000,35363,3,AY,1,100,-0.004
1853653.000,35363,3,AY,1,100,0.079
1853693.000,35380,2,AY,1,100,0.027
1853733.000,35380,2,AY,1,100,0.025
1853773.000,35396,3,AY,1,100,0.013
1853813.000,35396,3,AY,1,100,0.028
1853853.000,35396,3,AY,1,100,0.029
1853893.000,35411,2,AY,1,100,0.026
1853933.000,35411,2,AY,1,100,0.010
1853973.000,35428,3,AY,1,100,0.028
1854013.000,35428,3,AY,1,100,0.029
1854053.000,35428,3,AY,1,100,0.030
1854093.000,35445,2,AY,1,100,0.022
1854133.000,35445,2,AY,1,100,0.028
1854173.000,35461,3,AY,1,100,0.026
1854213.000,35461,3,AY,1,100,0.022
1854253.000,35461,3,AY,1,100,0.026
1854293.000,35478,2,AY,1,100,0.034
1854333.000,35478,2,AY,1,100,0.029
1854373.000,35493,3,AY,1,100,0.026
1854413.000,35493,3,AY,1,100,0.294
1854453.000,35493,3,AY,1,100,0.077
1854493.000,35510,2,AY,1,100,0.151
1854533.000,35510,2,AY,1,100,0.135
1854573.000,35527,3,AY,1,100,-0.053
1854613.000,35527,3,AY,1,100,-0.002
1854653.000,35527,3,AY,1,100,0.008
1854693.000,35544,3,AY,1,100,0.130
1854733.000,35544,3,AY,1,100,0.006
1854773.000,35544,3,AY,1,100,-0.235
1854813.000,35558,2,AY,1,100,0.028
1854853.000,35558,2,AY,1,100,-0.078
1854893.000,35576,3,AY,1,100,0.026
1854933.000,35576,3,AY,1,100,-0.128
1854973.000,35576,3,AY,1,100,-0.022
1855013.000,35592,2,AY,1,100,-0.010
1855053.000,35592,2,AY,1,100,-0.023
1855093.000,35609,3,AY,1,100,-0.038
1855133.000,35609,3,AY,1,100,-0.027
1855173.000,35609,3,AY,1,100,0.000
1855213.000,35623,2,AY,1,100,-0.020
1855253.000,35623,2,AY,1,100,-0.018
1855293.000,35641,3,AY,1,100,-0.008
1855333.000,35641,3,AY,1,100,-0.010
1855373.000,35641,3,AY,1,100,-0.008
1855413.000,35657,2,AY,1,100,-0.008
1855453.000,35657,2,AY,1,100,-0.008
1855493.000,35674,3,AY,1,100,-0.008
1855533.000,35674,3,AY,1,100,-0.009
1855573.000,35674,3,AY,1,100,-0.007
1855613.000,35689,2,AY,1,100,-0.010
1855653.000,35689,2,AY,1,100,-0.007
1855693.000,35706,3,AY,1,100,-0.006
1855733.000,35706,3,AY,1,100,-0.009
1855773.000,35706,3,AY,1,100,-0.007
1855813.000,35722,2,AY,1,100,-0.007
1855853.000,35722,2,AY,1,100,-0.009
1855893.000,35740,3,AY,1,100,-0.005
1855933.000,35740,3,AY,1,100,-0.009
1855973.000,35740,3,AY,1,100,-0.010
1856013.000,35754,3,AY,1,100,-0.008
1856053.000,35754,3,AY,1,100,-0.011
1856093.000,35754,3,AY,1,100,-0.005
1856133.000,35771,2,AY,1,100,-0.004
