EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1851533.000,35038,3,MZ,1,100,25
1851573.000,35038,3,MZ,1,100,21
1851613.000,35054,2,MZ,1,100,18
1851653.000,35054,2,MZ,1,100,15
1851693.000,35070,3,MZ,1,100,16
1851733.000,35070,3,MZ,1,100,12
1851773.000,35070,3,MZ,1,100, 5
1851813.000,35092,4,MZ,1,100, 3
1851853.000,35092,4,MZ,1,100, 1
1851893.000,35092,4,MZ,1,100, 1
1851933.000,35092,4,MZ,1,100, 0
1851973.000,35109,2,MZ,1,100, 0
1852013.000,35109,2,MZ,1,100, 0
1852053.000,35126,3,MZ,1,100,-1
1852093.000,35126,3,MZ,1,100,-3
1852133.000,35126,3,MZ,1,100,-7
1852173.000,35141,2,MZ,1,100,-9
1852213.000,35141,2,MZ,1,100,-13
1852253.000,35158,3,MZ,1,100,-15
1852293.000,35158,3,MZ,1,100,-18
1852333.000,35158,3,MZ,1,100,-20
1852373.000,35174,2,MZ,1,100,-24
1852413.000,35174,2,MZ,1,100,-27
1852453.000,35191,3,MZ,1,100,-30
1852493.000,35191,3,MZ,1,100,-33
1852533.000,35191,3,MZ,1,100,-38
1852573.000,35208,2,MZ,1,100,-41
1852613.000,35208,2,MZ,1,100,-41
1852653.000,35223,3,MZ,1,100,-39
1852693.000,35223,3,MZ,1,100,-41
1852733.000,35223,3,MZ,1,100,-41
1852773.000,35239,2,MZ,1,100,-43
1852813.000,35239,2,MZ,1,100,-47
1852853.000,35256,3,MZ,1,100,-51
1852893.000,35256,3,MZ,1,100,-54
1852933.000,35256,3,MZ,1,100,-55
1852973.000,35273,2,MZ,1,100,-56
1853013.000,35273,2,MZ,1,100,-57
1853053.000,35288,3,MZ,1,100,-57
1853093.000,35288,3,MZ,1,100,-59
1853133.000,35288,3,MZ,1,100,-61
1853173.000,35304,3,MZ,1,100,-64
1853213.000,35304,3,MZ,1,100,-69
1853253.000,35304,3,MZ,1,100,-70
1853293.000,35322,2,MZ,1,100,-71
1853333.000,35322,2,MZ,1,100,-69
1853373.000,35338,3,MZ,1,100,-67
1853413.000,35338,3,MZ,1,100,-69
1853453.000,35338,3,MZ,1,100,-67
1853493.000,35353,2,MZ,1,100,-70
1853533.000,35353,2,MZ,1,100,-68
1853573.000,35370,3,MZ,1,100,-69
1853613.000,35370,3,MZ,1,100,-69
1853653.000,35370,3,MZ,1,100,-69
1853693.000,35387,2,MZ,1,100,-68
1853733.000,35387,2,MZ,1,100,-68
1853773.000,35403,3,MZ,1,100,-69
1853813.000,35403,3,MZ,1,100,-68
1853853.000,35403,3,MZ,1,100,-68
1853893.000,35418,2,MZ,1,100,-69
1853933.000,35418,2,MZ,1,100,-69
1853973.000,35435,3,MZ,1,100,-69
1854013.000,35435,3,MZ,1,100,-69
1854053.000,35435,3,MZ,1,100,-68
1854093.000,35452,2,MZ,1,100,-68
1854133.000,35452,2,MZ,1,100,-68
1854173.000,35468,3,MZ,1,100,-68
1854213.000,35468,3,MZ,1,100,-69
1854253.000,35468,3,MZ,1,100,-69
1854293.000,35485,2,MZ,1,100,-69
1854333.000,35485,2,MZ,1,100,-68
1854373.000,35500,3,MZ,1,100,-68
1854413.000,35500,3,MZ,1,100,-69
1854453.000,35500,3,MZ,1,100,-67
1854493.000,35517,2,MZ,1,100,-66
1854533.000,35517,2,MZ,1,100,-67
1854573.000,35534,3,MZ,1,100,-65
1854613.000,35534,3,MZ,1,100,-61
1854653.000,35534,3,MZ,1,100,-58
1854693.000,35551,3,MZ,1,100,-51
1854733.000,35551,3,MZ,1,100,-40
1854773.000,35551,3,MZ,1,100,-27
1854813.000,35565,2,MZ,1,100,-23
1854853.000,35565,2,MZ,1,100,-18
1854893.000,35583,3,MZ,1,100,-17
1854933.000,35583,3,MZ,1,100,-23
1854973.000,35583,3,MZ,1,100,-25
1855013.000,35599,2,MZ,1,100,-27
1855053.000,35599,2,MZ,1,100,-27
1855093.000,35616,3,MZ,1,100,-27
1855133.000,35616,3,MZ,1,100,-25
1855173.000,35616,3,MZ,1,100,-26
1855213.000,35630,2,MZ,1,100,-27
1855253.000,35630,2,MZ,1,100,-26
1855293.000,35648,3,MZ,1,100,-27
1855333.000,35648,3,MZ,1,100,-27
1855373.000,35648,3,MZ,1,100,-27
1855413.000,35664,2,MZ,1,100,-26
1855453.000,35664,2,MZ,1,100,-26
1855493.000,35681,3,MZ,1,100,-27
1855533.000,35681,3,MZ,1,100,-27
1855573.000,35681,3,MZ,1,100,-26
1855613.000,35696,2,MZ,1,100,-25
1855653.000,35696,2,MZ,1,100,-26
1855693.000,35713,3,MZ,1,100,-27
1855733.000,35713,3,MZ,1,100,-27
1855773.000,35713,3,MZ,1,100,-27
1855813.000,35729,2,MZ,1,100,-26
1855853.000,35729,2,MZ,1,100,-27
1855893.000,35747,3,MZ,1,100,-25
1855933.000,35747,3,MZ,1,100,-26
1855973.000,35747,3,MZ,1,100,-27
1856013.000,35761,3,MZ,1,100,-25
1856053.000,35761,3,MZ,1,100,-25
1856093.000,35761,3,MZ,1,100,-26
1856133.000,35778,2,MZ,1,100,-26
1856173.000,35778,2,MZ,1,100,-26
1856213.000,35794,3,MZ,1,100,-27
1856253.000,35794,3,MZ,1,100,-26
1856293.000,35794,3,MZ,1,100,-27
1856333.000,35814,2,MZ,1,100,-25
1856373.000,35814,2,MZ,1,100,-27
1856413.000,35829,3,MZ,1,100,-25
1856453.000,35829,3,MZ,1,100,-26
1856493.000,35829,3,MZ,1,100,-27
1856533.000,35845,2,MZ,1,100,-26
1856573.000,35845,2,MZ,1,100,-25
1856613.000,35862,3,MZ,1,100,-26
