EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1852693.000,35219,3,GY,1,100,-9.827
1852733.000,35219,3,GY,1,100,-10.620
1852773.000,35235,2,GY,1,100,-12.665
1852813.000,35235,2,GY,1,100,-115.295
1852853.000,35252,3,GY,1,100,-145.447
1852893.000,35252,3,GY,1,100,-66.132
1852933.000,35252,3,GY,1,100,-36.133
1852973.000,35269,2,GY,1,100,-34.821
1853013.000,35269,2,GY,1,100,-54.169
1853053.000,35284,3,GY,1,100,-30.579
1853093.000,35284,3,GY,1,100,-15.564
1853133.000,35284,3,GY,1,100,-70.679
1853173.000,35300,3,GY,1,100,-157.806
1853213.000,35300,3,GY,1,100,-211.578
1853253.000,35300,3,GY,1,100,-257.965
1853293.000,35318,2,GY,1,100,-256.744
1853333.000,35318,2,GY,1,100,-334.167
1853373.000,35334,3,GY,1,100,-237.762
1853413.000,35334,3,GY,1,100,128.021
1853453.000,35334,3,GY,1,100,169.312
1853493.000,35349,2,GY,1,100,9.430
1853533.000,35349,2,GY,1,100,-104.858
1853573.000,35366,3,GY,1,100,-43.976
1853613.000,35366,3,GY,1,100,58.441
1853653.000,35366,3,GY,1,100,73.334
1853693.000,35383,2,GY,1,100,-24.902
1853733.000,35383,2,GY,1,100,-59.174
1853773.000,35399,3,GY,1,100,7.355
1853813.000,35399,3,GY,1,100,48.492
1853853.000,35399,3,GY,1,100,15.472
1853893.000,35414,2,GY,1,100,-13.489
1853933.000,35414,2,GY,1,100,-34.821
1853973.000,35431,3,GY,1,100,-10.651
1854013.000,35431,3,GY,1,100,31.769
1854053.000,35431,3,GY,1,100,1.770
1854093.000,35448,2,GY,1,100,-24.323
1854133.000,35448,2,GY,1,100,8.240
1854173.000,35464,3,GY,1,100,2.563
1854213.000,35464,3,GY,1,100,-3.601
1854253.000,35464,3,GY,1,100,0.916
1854293.000,35481,2,GY,1,100,0.793
1854333.000,35481,2,GY,1,100,0.824
1854373.000,35496,3,GY,1,100,1.221
1854413.000,35496,3,GY,1,100,9.552
1854453.000,35496,3,GY,1,100,60.699
1854493.000,35513,2,GY,1,100,-78.888
1854533.000,35513,2,GY,1,100,-103.333
1854573.000,35530,3,GY,1,100,-51.819
1854613.000,35530,3,GY,1,100,-189.087
1854653.000,35530,3,GY,1,100,-171.631
1854693.000,35547,3,GY,1,100,-162.994
1854733.000,35547,3,GY,1,100,-286.285
1854773.000,35547,3,GY,1,100,-339.996
1854813.000,35561,2,GY,1,100,-217.804
1854853.000,35561,2,GY,1,100,-72.174
1854893.000,35579,3,GY,1,100,-88.043
1854933.000,35579,3,GY,1,100,76.660
1854973.000,35579,3,GY,1,100,182.373
1855013.000,35595,2,GY,1,100,-4.303
1855053.000,35595,2,GY,1,100,-9.827
1855093.000,35612,3,GY,1,100,0.702
1855133.000,35612,3,GY,1,100,-2.258
1855173.000,35612,3,GY,1,100,1.282
1855213.000,35626,2,GY,1,100,7.599
1855253.000,35626,2,GY,1,100,-1.678
1855293.000,35644,3,GY,1,100,-1.709
1855333.000,35644,3,GY,1,100,1.617
1855373.000,35644,3,GY,1,100,1.129
1855413.000,35660,2,GY,1,100,1.007
1855453.000,35660,2,GY,1,100,1.007
1855493.000,35677,3,GY,1,100,1.038
1855533.000,35677,3,GY,1,100,1.068
1855573.000,35677,3,GY,1,100,1.038
1855613.000,35692,2,GY,1,100,1.099
1855653.000,35692,2,GY,1,100,1.160
1855693.000,35709,3,GY,1,100,1.129
1855733.000,35709,3,GY,1,100,0.977
1855773.000,35709,3,GY,1,100,1.038
1855813.000,35725,2,GY,1,100,1.129
1855853.000,35725,2,GY,1,100,1.038
1855893.000,35743,3,GY,1,100,1.099
1855933.000,35743,3,GY,1,100,1.068
1855973.000,35743,3,GY,1,100,1.068
1856013.000,35757,3,GY,1,100,1.160
1856053.000,35757,3,GY,1,100,1.068
1856093.000,35757,3,GY,1,100,1.038
1856133.000,35774,2,GY,1,100,1.068
1856173.000,35774,2,GY,1,100,0.946
1856213.000,35790,3,GY,1,100,1.068
1856253.000,35790,3,GY,1,100,1.129
1856293.000,35790,3,GY,1,100,0.946
1856333.000,35810,2,GY,1,100,0.977
1856373.000,35810,2,GY,1,100,1.038
1856413.000,35825,3,GY,1,100,0.977
1856453.000,35825,3,GY,1,100,1.099
1856493.000,35825,3,GY,1,100,1.068
1856533.000,35841,2,GY,1,100,0.946
1856573.000,35841,2,GY,1,100,1.007
1856613.000,35858,3,GY,1,100,1.099
1856653.000,35858,3,GY,1,100,1.068
1856693.000,35858,3,GY,1,100,1.038
1856733.000,35875,2,GY,1,100,1.038
1856773.000,35875,2,GY,1,100,1.129
1856813.000,35891,3,GY,1,100,1.068
1856853.000,35891,3,GY,1,100,1.038
1856893.000,35891,3,GY,1,100,0.977
1856933.000,35914,4,GY,1,100,1.068
1856973.000,35914,4,GY,1,100,1.068
1857013.000,35914,4,GY,1,100,1.007
1857053.000,35914,4,GY,1,100,1.068
1857093.000,35928,2,GY,1,100,1.099
1857133.000,35928,2,GY,1,100,1.068
1857173.000,35945,3,GY,1,100,1.068
1857213.000,35945,3,GY,1,100,1.007
1857253.000,35945,3,GY,1,100,1.038
1857293.000,35962,2,GY,1,100,1.099
1857333.000,35962,2,GY,1,100,1.038
1857373.000,35979,3,GY,1,100,1.007
1857413.000,35979,3,GY,1,100,1.068
1857453.000,35979,3,GY,1,100,1.099
1857492.500,35994,2,GY,1,100,1.099
1857532.000,35994,2,GY,1,100,1.068
1857572.000,36011,3,GY,1,100,1.068
1857612.000,36011,3,GY,1,100,1.099
1857652.000,36011,3,GY,1,100,1.068
1857692.333,36027,3,GY,1,100,0.977
1857732.667,36027,3,GY,1,100,1.007
1857773.000,36027,3,GY,1,100,1.129
1857812.500,36044,2,GY,1,100,1.038
1857852.000,36044,2,GY,1,100,1.007
1857892.000,36061,3,GY,1,100,1.038
1857932.000,36061,3,GY,1,100,1.129
1857972.000,36061,3,GY,1,100,1.038
1858012.500,36076,2,GY,1,100,1.038
1858053.000,36076,2,GY,1,100,1.068
1858093.000,36092,3,GY,1,100,1.068
1858133.000,36092,3,GY,1,100,1.068
1858173.000,36092,3,GY,1,100,1.068
1858213.000,36109,2,GY,1,100,1.038
1858253.000,36109,2,GY,1,100,1.068
1858292.667,36126,3,GY,1,100,1.007
1858332.333,36126,3,GY,1,100,1.068
1858372.000,36126,3,GY,1,100,1.068
1858412.000,36141,2,GY,1,100,1.007
1858452.000,36141,2,GY,1,100,1.068
1858492.000,36157,3,GY,1,100,1.068
1858532.000,36157,3,GY,1,100,1.038
1858572.000,36157,3,GY,1,100,1.099
1858612.000,36175,2,GY,1,100,1.068
1858652.000,36175,2,GY,1,100,1.038
1858692.000,36191,3,GY,1,100,1.038
1858732.000,36191,3,GY,1,100,1.007
1858772.000,36191,3,GY,1,100,1.068
1858812.000,36206,2,GY,1,100,1.038
1858852.000,36206,2,GY,1,100,1.007
1858892.000,36223,3,GY,1,100,1.129
1858932.000,36223,3,GY,1,100,1.068
1858972.000,36223,3,GY,1,100,1.007
1859012.000,36240,2,GY,1,100,1.038
1859052.000,36240,2,GY,1,100,1.068
1859092.000,36256,3,GY,1,100,1.129
1859132.000,36256,3,GY,1,100,1.007
1859172.000,36256,3,GY,1,100,1.038
1859212.000,36271,3,GY,1,100,1.068
1859252.000,36271,3,GY,1,100,1.038
1859292.000,36271,3,GY,1,100,1.099
1859332.000,36288,2,GY,1,100,1.007
1859372.000,36288,2,GY,1,100,0.977
1859412.000,36305,3,GY,1,100,1.129
1859452.000,36305,3,GY,1,100,1.068
1859492.000,36305,3,GY,1,100,1.007
1859532.000,36321,2,GY,1,100,1.068
1859572.000,36321,2,GY,1,100,1.007
1859612.000,36338,3,GY,1,100,1.129
1859652.000,36338,3,GY,1,100,1.068
