EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1849369.750,34678,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1849420.000,34678,4,EM,1,100,PS
1849470.250,34709,4,EM,1,100,RS
1849520.500,34709,4,EM,1,100,RB
1849570.750,34709,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1849621.000,34709,4,EM,1,100,PS
1849671.250,34743,4,EM,1,100,RS
1849721.500,34743,4,EM,1,100,RB
1849771.750,34743,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1849822.000,34743,4,EM,1,100,PS
1849872.250,34774,4,EM,1,100,RS
1849922.500,34774,4,EM,1,100,RB
1849972.750,34774,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1850023.000,34774,4,EM,1,100,PS
1850073.250,34808,4,EM,1,100,RS
1850123.500,34808,4,EM,1,100,RB
1850173.750,34808,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1850224.000,34808,4,EM,1,100,PS
1850275.000,34840,4,EM,1,100,RS
1850326.000,34840,4,EM,1,100,RB
1850377.000,34840,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1850428.000,34840,4,EM,1,100,PS
1850478.000,34873,4,EM,1,100,RS
1850528.000,34873,4,EM,1,100,RB
1850578.000,34873,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1850628.000,34873,4,EM,1,100,PS
1850678.250,34906,4,EM,1,100,RS
1850728.500,34906,4,EM,1,100,RB
1850778.750,34906,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1850829.000,34906,4,EM,1,100,PS
1850879.250,34939,4,EM,1,100,RS
1850929.500,34939,4,EM,1,100,RB
1850979.750,34939,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1851030.000,34939,4,EM,1,100,PS
1851080.250,34972,4,EM,1,100,RS
1851130.500,34972,4,EM,1,100,RB
1851180.750,34972,4,EM,1,100,2024-09-18_13-07-51-985797.csv
