EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1844281.000,33859,2,MX,1,100,161
1844325.333,33875,3,MX,1,100,161
1844369.667,33875,3,MX,1,100,160
1844414.000,33875,3,MX,1,100,161
1844454.000,33894,2,MX,1,100,160
1844494.000,33894,2,MX,1,100,161
1844534.000,33908,3,MX,1,100,161
1844574.000,33908,3,MX,1,100,162
1844614.000,33908,3,MX,1,100,161
1844654.000,33926,2,MX,1,100,161
1844694.000,33926,2,MX,1,100,160
1844734.000,33942,3,MX,1,100,161
1844774.000,33942,3,MX,1,100,161
1844814.000,33942,3,MX,1,100,161
1844854.000,33959,3,MX,1,100,161
1844894.000,33959,3,MX,1,100,161
1844934.000,33959,3,MX,1,100,161
1844974.000,33975,2,MX,1,100,161
1845014.000,33975,2,MX,1,100,161
1845054.000,33991,3,MX,1,100,161
1845094.000,33991,3,MX,1,100,161
1845134.000,33991,3,MX,1,100,161
1845174.000,34009,2,MX,1,100,161
1845214.000,34009,2,MX,1,100,160
1845254.000,34027,3,MX,1,100,160
1845294.000,34027,3,MX,1,100,160
1845334.000,34027,3,MX,1,100,160
1845374.000,34043,2,MX,1,100,161
1845414.000,34043,2,MX,1,100,161
1845454.000,34058,3,MX,1,100,161
1845494.000,34058,3,MX,1,100,161
1845534.000,34058,3,MX,1,100,161
1845574.000,34075,2,MX,1,100,161
1845614.000,34075,2,MX,1,100,161
1845654.000,34092,3,MX,1,100,161
1845694.000,34092,3,MX,1,100,162
1845734.000,34092,3,MX,1,100,161
1845774.000,34108,2,MX,1,100,160
1845814.000,34108,2,MX,1,100,160
1845854.000,34123,3,MX,1,100,161
1845894.000,34123,3,MX,1,100,161
1845934.000,34123,3,MX,1,100,161
1845974.000,34140,3,MX,1,100,161
1846014.000,34140,3,MX,1,100,161
1846054.000,34140,3,MX,1,100,161
1846094.000,34159,2,MX,1,100,159
1846134.000,34159,2,MX,1,100,160
1846174.000,34175,3,MX,1,100,162
1846214.000,34175,3,MX,1,100,162
1846254.000,34175,3,MX,1,100,164
1846294.000,34191,2,MX,1,100,165
1846334.000,34191,2,MX,1,100,167
1846369.667,34209,3,MX,1,100,168
1846405.333,34209,3,MX,1,100,168
1846441.000,34209,3,MX,1,100,168
1846481.000,34226,2,MX,1,100,168
1846521.000,34226,2,MX,1,100,168
1846561.000,34243,3,MX,1,100,168
1846601.000,34243,3,MX,1,100,168
1846641.000,34243,3,MX,1,100,167
1846685.000,34265,3,MX,1,100,166
1846729.000,34265,3,MX,1,100,164
1846773.000,34265,3,MX,1,100,166
1846813.333,34281,3,MX,1,100,165
1846853.667,34281,3,MX,1,100,165
1846894.000,34281,3,MX,1,100,166
1846934.000,34299,2,MX,1,100,167
1846974.000,34299,2,MX,1,100,166
1847013.667,34315,3,MX,1,100,166
1847053.333,34315,3,MX,1,100,164
1847093.000,34315,3,MX,1,100,162
1847133.333,34332,3,MX,1,100,162
1847173.667,34332,3,MX,1,100,163
1847214.000,34332,3,MX,1,100,162
1847254.000,34349,2,MX,1,100,162
1847294.000,34349,2,MX,1,100,162
1847334.000,34364,3,MX,1,100,163
1847374.000,34364,3,MX,1,100,161
1847414.000,34364,3,MX,1,100,163
1847454.000,34380,2,MX,1,100,165
