EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1842041.000,33496,3,MY,1,100,78
1842081.000,33496,3,MY,1,100,78
1842121.000,33512,2,MY,1,100,78
1842161.000,33512,2,MY,1,100,78
1842201.000,33529,3,MY,1,100,80
1842241.000,33529,3,MY,1,100,78
1842281.000,33529,3,MY,1,100,78
1842321.000,33546,2,MY,1,100,78
1842361.000,33546,2,MY,1,100,78
1842401.000,33561,3,MY,1,100,78
1842441.000,33561,3,MY,1,100,78
1842481.000,33561,3,MY,1,100,78
1842521.000,33579,2,MY,1,100,79
1842561.000,33579,2,MY,1,100,79
1842601.000,33597,3,MY,1,100,78
1842641.000,33597,3,MY,1,100,78
1842681.000,33597,3,MY,1,100,77
1842721.000,33613,3,MY,1,100,78
1842761.000,33613,3,MY,1,100,78
1842801.000,33613,3,MY,1,100,78
1842841.000,33629,2,MY,1,100,78
1842881.000,33629,2,MY,1,100,78
1842921.000,33645,3,MY,1,100,79
1842961.000,33645,3,MY,1,100,77
1843001.000,33645,3,MY,1,100,78
1843041.000,33662,2,MY,1,100,79
1843081.000,33662,2,MY,1,100,77
1843121.000,33678,3,MY,1,100,78
1843161.000,33678,3,MY,1,100,78
1843201.000,33678,3,MY,1,100,78
1843241.000,33696,2,MY,1,100,78
1843281.000,33696,2,MY,1,100,78
1843321.000,33710,3,MY,1,100,79
1843361.000,33710,3,MY,1,100,78
1843401.000,33710,3,MY,1,100,78
1843441.000,33727,2,MY,1,100,78
1843481.000,33727,2,MY,1,100,79
1843521.000,33743,3,MY,1,100,78
1843561.000,33743,3,MY,1,100,78
1843601.000,33743,3,MY,1,100,78
1843640.500,33761,2,MY,1,100,78
1843680.000,33761,2,MY,1,100,77
1843720.000,33775,3,MY,1,100,78
1843760.000,33775,3,MY,1,100,77
1843800.000,33775,3,MY,1,100,78
1843840.333,33792,3,MY,1,100,79
1843880.667,33792,3,MY,1,100,78
1843921.000,33792,3,MY,1,100,78
1843961.000,33809,2,MY,1,100,78
1844001.000,33809,2,MY,1,100,78
1844041.000,33826,3,MY,1,100,78
1844081.000,33826,3,MY,1,100,78
1844121.000,33826,3,MY,1,100,77
1844161.000,33840,2,MY,1,100,78
1844201.000,33840,2,MY,1,100,78
1844241.000,33860,2,MY,1,100,78
1844281.000,33860,2,MY,1,100,79
1844325.333,33876,3,MY,1,100,78
1844369.667,33876,3,MY,1,100,78
1844414.000,33876,3,MY,1,100,78
1844454.000,33895,2,MY,1,100,78
1844494.000,33895,2,MY,1,100,77
1844534.000,33909,3,MY,1,100,77
1844574.000,33909,3,MY,1,100,77
1844614.000,33909,3,MY,1,100,77
1844654.000,33927,2,MY,1,100,78
1844694.000,33927,2,MY,1,100,78
1844734.000,33943,3,MY,1,100,78
1844774.000,33943,3,MY,1,100,78
1844814.000,33943,3,MY,1,100,78
1844854.000,33960,3,MY,1,100,78
1844894.000,33960,3,MY,1,100,78
1844934.000,33960,3,MY,1,100,78
1844974.000,33976,2,MY,1,100,77
1845014.000,33976,2,MY,1,100,77
1845054.000,33992,3,MY,1,100,78
1845094.000,33992,3,MY,1,100,78
1845134.000,33992,3,MY,1,100,78
1845174.000,34010,2,MY,1,100,77
1845214.000,34010,2,MY,1,100,77
1845254.000,34028,3,MY,1,100,78
1845294.000,34028,3,MY,1,100,78
1845334.000,34028,3,MY,1,100,78
1845374.000,34044,2,MY,1,100,78
1845414.000,34044,2,MY,1,100,78
1845454.000,34059,3,MY,1,100,79
1845494.000,34059,3,MY,1,100,78
1845534.000,34059,3,MY,1,100,78
1845574.000,34076,2,MY,1,100,78
1845614.000,34076,2,MY,1,100,78
1845654.000,34093,3,MY,1,100,77
1845694.000,34093,3,MY,1,100,78
1845734.000,34093,3,MY,1,100,78
1845774.000,34109,2,MY,1,100,78
1845814.000,34109,2,MY,1,100,78
1845854.000,34124,3,MY,1,100,78
1845894.000,34124,3,MY,1,100,78
1845934.000,34124,3,MY,1,100,77
1845974.000,34141,3,MY,1,100,78
1846014.000,34141,3,MY,1,100,78
1846054.000,34141,3,MY,1,100,78
1846094.000,34160,2,MY,1,100,77
1846134.000,34160,2,MY,1,100,78
1846174.000,34176,3,MY,1,100,78
1846214.000,34176,3,MY,1,100,79
1846254.000,34176,3,MY,1,100,81
1846294.000,34192,2,MY,1,100,82
1846334.000,34192,2,MY,1,100,83
1846369.667,34210,3,MY,1,100,85
1846405.333,34210,3,MY,1,100,84
1846441.000,34210,3,MY,1,100,85
1846481.000,34227,2,MY,1,100,84
1846521.000,34227,2,MY,1,100,84
1846561.000,34244,3,MY,1,100,85
1846601.000,34244,3,MY,1,100,84
1846641.000,34244,3,MY,1,100,84
1846685.000,34266,3,MY,1,100,83
1846729.000,34266,3,MY,1,100,83
1846773.000,34266,3,MY,1,100,83
1846813.333,34282,3,MY,1,100,83
1846853.667,34282,3,MY,1,100,84
1846894.000,34282,3,MY,1,100,84
1846934.000,34300,2,MY,1,100,84
1846974.000,34300,2,MY,1,100,85
1847013.667,34316,3,MY,1,100,85
1847053.333,34316,3,MY,1,100,83
1847093.000,34316,3,MY,1,100,83
1847133.333,34333,3,MY,1,100,83
1847173.667,34333,3,MY,1,100,83
