EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1850841.000,34907,2,PI,1,100,1895
1850880.667,34923,3,PI,1,100,1901
1850920.333,34923,3,PI,1,100,1884
1850960.000,34923,3,PI,1,100,1890
1851000.000,34940,2,PI,1,100,1879
1851040.000,34940,2,PI,1,100,1878
1851080.000,34956,3,PI,1,100,1886
1851120.000,34956,3,PI,1,100,1877
1851160.000,34956,3,PI,1,100,1875
1851200.500,34973,2,PI,1,100,1885
1851241.000,34973,2,PI,1,100,1891
1851281.000,34990,3,PI,1,100,1901
1851321.000,34990,3,PI,1,100,1935
1851361.000,34990,3,PI,1,100,1968
1851400.667,35007,3,PI,1,100,2009
1851440.333,35007,3,PI,1,100,2092
1851480.000,35007,3,PI,1,100,2168
1851520.000,35023,2,PI,1,100,2236
1851560.000,35023,2,PI,1,100,2312
1851600.333,35041,3,PI,1,100,2281
1851640.667,35041,3,PI,1,100,2250
1851681.000,35041,3,PI,1,100,2178
1851720.500,35055,2,PI,1,100,2140
1851760.000,35055,2,PI,1,100,2114
1851800.000,35077,4,PI,1,100,2069
1851840.000,35077,4,PI,1,100,2040
1851880.000,35077,4,PI,1,100,2018
1851920.000,35077,4,PI,1,100,1965
1851960.000,35094,2,PI,1,100,1939
1852000.000,35094,2,PI,1,100,1940
1852040.000,35111,3,PI,1,100,1917
1852080.000,35111,3,PI,1,100,1881
1852120.000,35111,3,PI,1,100,1848
1852160.000,35127,2,PI,1,100,1838
1852200.000,35127,2,PI,1,100,1828
1852240.000,35144,3,PI,1,100,1813
1852280.000,35144,3,PI,1,100,1819
1852320.000,35144,3,PI,1,100,1835
1852360.000,35159,2,PI,1,100,1845
1852400.000,35159,2,PI,1,100,1879
1852440.000,35176,3,PI,1,100,1891
1852480.000,35176,3,PI,1,100,1869
1852520.000,35176,3,PI,1,100,1863
1852560.000,35193,3,PI,1,100,1871
1852600.000,35193,3,PI,1,100,1865
1852640.000,35193,3,PI,1,100,1853
1852680.000,35210,2,PI,1,100,1867
1852720.000,35210,2,PI,1,100,1860
1852760.000,35224,3,PI,1,100,1865
1852800.000,35224,3,PI,1,100,1855
1852840.000,35224,3,PI,1,100,1869
1852880.000,35241,2,PI,1,100,1876
1852920.000,35241,2,PI,1,100,1879
1852960.000,35258,3,PI,1,100,1880
1853000.000,35258,3,PI,1,100,1893
1853040.000,35258,3,PI,1,100,1905
1853080.000,35275,2,PI,1,100,1915
1853120.000,35275,2,PI,1,100,1905
1853160.000,35289,3,PI,1,100,1882
1853200.000,35289,3,PI,1,100,1863
1853240.000,35289,3,PI,1,100,1864
1853280.000,35307,2,PI,1,100,1862
1853320.000,35307,2,PI,1,100,1849
1853360.000,35323,3,PI,1,100,1838
1853400.000,35323,3,PI,1,100,1875
1853440.000,35323,3,PI,1,100,1894
1853480.000,35340,2,PI,1,100,1886
1853520.000,35340,2,PI,1,100,1908
