EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1841548.000,33419,4,PG,1,100,9328
1841588.000,33419,4,PG,1,100,9340
1841628.000,33419,4,PG,1,100,9321
1841668.000,33419,4,PG,1,100,9320
1841708.000,33435,3,PG,1,100,9316
1841748.000,33435,3,PG,1,100,9318
1841788.000,33435,3,PG,1,100,9305
1841828.000,33452,2,PG,1,100,9302
1841868.000,33452,2,PG,1,100,9300
1841908.000,33469,3,PG,1,100,9306
1841948.000,33469,3,PG,1,100,9295
1841988.000,33469,3,PG,1,100,9290
1842028.000,33486,2,PG,1,100,9283
1842068.000,33486,2,PG,1,100,9296
1842108.000,33500,3,PG,1,100,9291
1842148.000,33500,3,PG,1,100,9288
1842188.000,33500,3,PG,1,100,9300
1842228.000,33517,2,PG,1,100,9293
1842268.000,33517,2,PG,1,100,9286
1842308.000,33534,3,PG,1,100,9309
1842348.000,33534,3,PG,1,100,9288
1842388.000,33534,3,PG,1,100,9300
1842428.000,33551,2,PG,1,100,9304
1842468.000,33551,2,PG,1,100,9293
1842508.000,33567,3,PG,1,100,9301
1842548.000,33567,3,PG,1,100,9306
1842588.000,33567,3,PG,1,100,9305
1842628.000,33585,2,PG,1,100,9307
1842668.000,33585,2,PG,1,100,9304
1842708.000,33601,3,PG,1,100,9303
1842748.000,33601,3,PG,1,100,9299
1842788.000,33601,3,PG,1,100,9295
1842828.000,33618,2,PG,1,100,9291
1842868.000,33618,2,PG,1,100,9279
1842908.000,33634,3,PG,1,100,9278
1842948.000,33634,3,PG,1,100,9275
1842988.000,33634,3,PG,1,100,9273
1843028.000,33650,2,PG,1,100,9262
1843068.000,33650,2,PG,1,100,9260
1843108.000,33666,3,PG,1,100,9258
1843148.000,33666,3,PG,1,100,9255
1843188.000,33666,3,PG,1,100,9263
1843228.000,33684,3,PG,1,100,9257
1843268.000,33684,3,PG,1,100,9253
1843308.000,33684,3,PG,1,100,9259
1843348.000,33700,2,PG,1,100,9257
1843388.000,33700,2,PG,1,100,9257
1843428.000,33715,3,PG,1,100,9257
1843468.000,33715,3,PG,1,100,9261
1843508.000,33715,3,PG,1,100,9260
1843548.000,33731,2,PG,1,100,9265
1843588.000,33731,2,PG,1,100,9264
1843628.000,33749,3,PG,1,100,9253
1843668.000,33749,3,PG,1,100,9268
1843708.000,33749,3,PG,1,100,9271
1843748.000,33765,2,PG,1,100,9257
1843788.000,33765,2,PG,1,100,9258
1843828.000,33780,3,PG,1,100,9247
1843868.000,33780,3,PG,1,100,9242
1843908.000,33780,3,PG,1,100,9252
1843948.000,33797,2,PG,1,100,9242
1843988.000,33797,2,PG,1,100,9228
1844028.000,33814,3,PG,1,100,9235
1844068.000,33814,3,PG,1,100,9242
1844108.000,33814,3,PG,1,100,9230
1844148.000,33830,2,PG,1,100,9240
1844188.000,33830,2,PG,1,100,9228
1844228.000,33848,3,PG,1,100,9239
1844268.000,33848,3,PG,1,100,9248
1844308.000,33848,3,PG,1,100,9239
1844348.000,33864,3,PG,1,100,9250
1844388.000,33864,3,PG,1,100,9239
1844428.000,33864,3,PG,1,100,9232
1844468.000,33883,2,PG,1,100,9237
1844508.000,33883,2,PG,1,100,9252
1844548.000,33899,3,PG,1,100,9235
1844588.000,33899,3,PG,1,100,9249
1844628.000,33899,3,PG,1,100,9241
1844668.000,33915,2,PG,1,100,9231
1844708.000,33915,2,PG,1,100,9228
1844748.000,33931,3,PG,1,100,9223
1844788.000,33931,3,PG,1,100,9229
1844828.000,33931,3,PG,1,100,9211
1844868.000,33948,2,PG,1,100,9221
1844908.000,33948,2,PG,1,100,9213
1844948.000,33965,3,PG,1,100,9209
