EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1847854.000,34444,2,GZ,1,100,-3.754
1847894.000,34444,2,GZ,1,100,-3.754
1847933.667,34462,3,GZ,1,100,-2.625
1847973.333,34462,3,GZ,1,100,-10.620
1848013.000,34462,3,GZ,1,100,-32.623
1848053.500,34478,2,GZ,1,100,-32.318
1848094.000,34478,2,GZ,1,100,-19.653
1848134.000,34493,3,GZ,1,100,-16.907
1848174.000,34493,3,GZ,1,100,-14.496
1848214.000,34493,3,GZ,1,100,-1.892
1848253.667,34510,3,GZ,1,100,1.556
1848293.333,34510,3,GZ,1,100,-2.167
1848333.000,34510,3,GZ,1,100,-1.251
1848373.000,34527,2,GZ,1,100,2.319
1848413.000,34527,2,GZ,1,100,2.777
1848453.000,34543,3,GZ,1,100,-0.092
1848493.000,34543,3,GZ,1,100,1.678
1848533.000,34543,3,GZ,1,100,4.700
1848573.000,34559,2,GZ,1,100,5.585
1848613.000,34559,2,GZ,1,100,1.190
1848653.000,34575,3,GZ,1,100,3.357
1848693.000,34575,3,GZ,1,100,6.897
1848733.000,34575,3,GZ,1,100,4.883
1848773.000,34592,2,GZ,1,100,7.080
1848813.000,34592,2,GZ,1,100,10.040
1848853.000,34608,3,GZ,1,100,7.080
1848893.000,34608,3,GZ,1,100,0.732
1848933.000,34608,3,GZ,1,100,1.648
1848973.000,34626,2,GZ,1,100,1.282
1849013.000,34626,2,GZ,1,100,-4.547
1849053.000,34640,3,GZ,1,100,2.136
1849093.000,34640,3,GZ,1,100,6.561
1849133.000,34640,3,GZ,1,100,8.820
1849173.000,34657,2,GZ,1,100,-0.488
1849213.000,34657,2,GZ,1,100,-17.822
1849253.000,34674,3,GZ,1,100,27.252
1849293.000,34674,3,GZ,1,100,88.470
1849333.000,34674,3,GZ,1,100,111.725
1849373.000,34691,2,GZ,1,100,144.012
1849413.000,34691,2,GZ,1,100,149.933
1849453.000,34705,3,GZ,1,100,150.970
1849493.000,34705,3,GZ,1,100,105.194
1849533.000,34705,3,GZ,1,100,110.199
1849573.000,34723,3,GZ,1,100,37.231
1849613.000,34723,3,GZ,1,100,-19.775
1849653.000,34723,3,GZ,1,100,9.827
1849693.000,34739,2,GZ,1,100,16.449
1849733.000,34739,2,GZ,1,100,-3.723
1849773.000,34756,3,GZ,1,100,-9.308
1849813.000,34756,3,GZ,1,100,6.073
1849853.000,34756,3,GZ,1,100,-0.946
1849893.000,34770,2,GZ,1,100,-5.066
1849933.000,34770,2,GZ,1,100,-7.050
1849973.000,34788,3,GZ,1,100,5.798
1850013.000,34788,3,GZ,1,100,-1.343
1850053.000,34788,3,GZ,1,100,-4.608
1850093.000,34804,2,GZ,1,100,11.719
1850133.000,34804,2,GZ,1,100,25.146
1850173.000,34821,3,GZ,1,100,17.395
1850213.000,34821,3,GZ,1,100,15.167
1850253.000,34821,3,GZ,1,100,40.588
1850293.000,34836,2,GZ,1,100,40.375
1850333.000,34836,2,GZ,1,100,26.031
1850373.000,34853,3,GZ,1,100,22.461
1850413.000,34853,3,GZ,1,100,7.782
1850453.000,34853,3,GZ,1,100,-6.866
