EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1868437.500,37736,2,EL,1,100,26447.000000
1868504.000,37736,2,EL,1,100,26447.199219
1868571.000,37754,2,EL,1,100,26447.000000
1868638.000,37754,2,EL,1,100,26447.000000
1868704.000,37770,1,EL,1,100,26447.199219
1868771.000,37785,2,EL,1,100,26447.199219
1868838.000,37785,2,EL,1,100,26447.199219
1868904.000,37801,1,EL,1,100,26447.599609
1868970.500,37819,2,EL,1,100,26447.400391
1869037.000,37819,2,EL,1,100,26447.800781
1869104.000,37835,1,EL,1,100,26447.400391
1869170.500,37850,2,EL,1,100,26447.400391
1869237.000,37850,2,EL,1,100,26447.599609
1869304.000,37867,1,EL,1,100,26447.400391
1869370.500,37884,2,EL,1,100,26447.800781
1869437.000,37884,2,EL,1,100,26447.599609
1869504.000,37900,1,EL,1,100,26447.400391
1869570.500,37916,2,EL,1,100,26447.599609
1869637.000,37916,2,EL,1,100,26447.000000
1869704.000,37932,1,EL,1,100,26447.199219
1869770.500,37949,2,EL,1,100,26447.000000
1869837.000,37949,2,EL,1,100,26447.199219
1869904.000,37965,1,EL,1,100,26447.199219
1869970.500,37981,2,EL,1,100,26447.400391
1870037.000,37981,2,EL,1,100,26447.199219
1870104.000,37997,1,EL,1,100,26447.400391
1870170.500,38014,2,EL,1,100,26447.400391
1870237.000,38014,2,EL,1,100,26447.400391
1870304.000,38031,1,EL,1,100,26447.000000
1870370.500,38047,2,EL,1,100,26447.000000
1870437.000,38047,2,EL,1,100,26447.199219
1870504.000,38062,1,EL,1,100,26447.000000
1870570.500,38080,2,EL,1,100,26447.000000
1870637.000,38080,2,EL,1,100,26447.199219
1870703.500,38096,2,EL,1,100,26447.000000
1870770.000,38096,2,EL,1,100,26447.000000
1870837.000,38113,1,EL,1,100,26446.800781
1870903.500,38128,2,EL,1,100,26447.000000
1870970.000,38128,2,EL,1,100,26447.000000
1871037.000,38145,1,EL,1,100,26447.000000
1871103.500,38161,2,EL,1,100,26447.000000
1871170.000,38161,2,EL,1,100,26447.000000
1871237.000,38178,1,EL,1,100,26447.000000
1871303.500,38196,2,EL,1,100,26447.000000
1871370.000,38196,2,EL,1,100,26447.000000
1871437.000,38212,1,EL,1,100,26446.800781
1871503.500,38228,2,EL,1,100,26447.000000
1871570.000,38228,2,EL,1,100,26446.800781
1871637.000,38246,2,EL,1,100,26446.400391
1871704.000,38246,2,EL,1,100,26446.599609
1871770.000,38262,1,EL,1,100,26446.400391
1871837.000,38277,2,EL,1,100,26446.599609
1871904.000,38277,2,EL,1,100,26446.400391
1871970.000,38294,1,EL,1,100,26446.400391
1872037.000,38311,2,EL,1,100,26446.400391
1872104.000,38311,2,EL,1,100,26446.400391
1872170.000,38327,1,EL,1,100,26446.199219
1872236.667,38348,3,EL,1,100,26446.199219
1872303.333,38348,3,EL,1,100,26445.800781
1872370.000,38348,3,EL,1,100,26446.400391
1872437.000,38365,1,EL,1,100,26446.000000
1872503.500,38380,2,EL,1,100,26446.199219
1872570.000,38380,2,EL,1,100,26446.400391
1872637.000,38397,1,EL,1,100,26446.400391
1872703.500,38413,2,EL,1,100,26446.199219
1872770.000,38413,2,EL,1,100,26446.000000
1872837.000,38430,2,EL,1,100,26446.000000
1872904.000,38430,2,EL,1,100,26446.199219
1872970.500,38447,2,EL,1,100,26446.000000
1873037.000,38447,2,EL,1,100,26446.000000
1873104.000,38464,1,EL,1,100,26446.000000
