EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1850381.000,34847,1,TH,1,100,25.305
1850514.000,34863,1,TH,1,100,25.229
1850647.000,34881,1,TH,1,100,25.228
1850781.000,34912,1,TH,1,100,24.570
1850914.000,34929,1,TH,1,100,24.561
1851047.000,34946,1,TH,1,100,23.911
1851181.000,34962,1,TH,1,100,23.881
1851314.000,34996,1,TH,1,100,23.652
1851447.000,35013,1,TH,1,100,23.630
1851580.000,35029,1,TH,1,100,23.737
1851714.000,35061,1,TH,1,100,23.737
1851847.000,35083,1,TH,1,100,23.724
1851980.000,35100,1,TH,1,100,23.724
1852114.000,35117,1,TH,1,100,23.698
1852247.000,35149,1,TH,1,100,23.705
1852380.000,35165,1,TH,1,100,23.775
1852514.000,35182,1,TH,1,100,23.776
1852647.000,35199,1,TH,1,100,23.661
1852780.000,35230,1,TH,1,100,23.661
1852914.000,35247,1,TH,1,100,23.778
1853047.000,35264,1,TH,1,100,23.778
1853180.000,35295,1,TH,1,100,23.606
1853314.000,35313,1,TH,1,100,23.606
1853447.000,35329,1,TH,1,100,23.710
1853580.000,35361,1,TH,1,100,23.710
1853714.000,35378,1,TH,1,100,23.645
1853847.000,35394,1,TH,1,100,23.638
1853980.000,35426,1,TH,1,100,23.632
1854114.000,35443,1,TH,1,100,23.632
1854247.000,35459,1,TH,1,100,23.656
1854380.000,35491,1,TH,1,100,23.656
1854514.000,35508,1,TH,1,100,23.708
1854647.000,35525,1,TH,1,100,23.708
1854780.000,35542,1,TH,1,100,23.638
1854913.000,35574,1,TH,1,100,23.631
1855047.000,35590,1,TH,1,100,23.644
1855180.000,35607,1,TH,1,100,23.644
1855314.000,35639,1,TH,1,100,23.686
1855447.000,35655,1,TH,1,100,23.686
1855580.000,35672,1,TH,1,100,23.745
1855714.000,35704,1,TH,1,100,23.738
1855847.000,35720,1,TH,1,100,23.590
1855980.000,35738,1,TH,1,100,23.589
1856113.000,35769,1,TH,1,100,23.496
1856247.000,35785,1,TH,1,100,23.495
1856380.000,35805,1,TH,1,100,23.477
1856513.000,35836,1,TH,1,100,23.477
1856647.000,35853,1,TH,1,100,23.555
