EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1842906.500,33635,2,EA,1,100,2.025342
1842973.000,33635,2,EA,1,100,2.024751
1843040.000,33651,1,EA,1,100,2.024751
1843106.500,33667,2,EA,1,100,2.026530
1843173.000,33667,2,EA,1,100,2.027720
1843240.000,33685,2,EA,1,100,2.025342
1843307.000,33685,2,EA,1,100,2.024751
1843373.000,33701,1,EA,1,100,2.025342
1843440.000,33716,2,EA,1,100,2.025342
1843507.000,33716,2,EA,1,100,2.024751
1843573.000,33732,1,EA,1,100,2.025939
1843640.000,33750,2,EA,1,100,2.024751
1843707.000,33750,2,EA,1,100,2.025342
1843773.000,33766,1,EA,1,100,2.024751
1843840.000,33781,2,EA,1,100,2.024751
1843907.000,33781,2,EA,1,100,2.024751
1843973.000,33798,1,EA,1,100,2.024751
1844039.500,33815,2,EA,1,100,2.024751
1844106.000,33815,2,EA,1,100,2.024751
1844173.000,33831,1,EA,1,100,2.024161
1844239.500,33849,2,EA,1,100,2.024161
1844306.000,33849,2,EA,1,100,2.023565
1844373.000,33865,1,EA,1,100,2.024161
1844439.500,33884,2,EA,1,100,2.024161
1844506.000,33884,2,EA,1,100,2.024751
1844573.000,33900,1,EA,1,100,2.023565
1844639.500,33916,2,EA,1,100,2.022380
1844706.000,33916,2,EA,1,100,2.020609
1844773.000,33932,1,EA,1,100,2.021791
1844839.500,33949,2,EA,1,100,2.021203
1844906.000,33949,2,EA,1,100,2.020609
1844973.000,33966,1,EA,1,100,2.019428
1845039.500,33982,2,EA,1,100,2.020021
1845106.000,33982,2,EA,1,100,2.018253
1845173.000,33999,2,EA,1,100,2.018253
1845240.000,33999,2,EA,1,100,2.018840
1845307.000,34017,1,EA,1,100,2.018253
1845373.500,34033,2,EA,1,100,2.016483
1845440.000,34033,2,EA,1,100,2.016483
1845507.000,34050,1,EA,1,100,2.015312
1845573.500,34065,2,EA,1,100,2.015898
1845640.000,34065,2,EA,1,100,2.014722
1845706.000,34082,1,EA,1,100,2.014722
1845773.000,34098,2,EA,1,100,2.015898
1845840.000,34098,2,EA,1,100,2.013547
1845906.000,34115,1,EA,1,100,2.012964
1845973.000,34130,2,EA,1,100,2.012964
1846040.000,34130,2,EA,1,100,2.012964
1846106.000,34149,1,EA,1,100,2.012964
1846173.000,34165,2,EA,1,100,2.013547
1846240.000,34165,2,EA,1,100,2.012964
1846306.000,34183,1,EA,1,100,2.012964
1846373.000,34199,2,EA,1,100,2.012964
1846440.000,34199,2,EA,1,100,2.012964
1846506.000,34216,1,EA,1,100,2.012380
1846573.000,34233,2,EA,1,100,2.012964
1846640.000,34233,2,EA,1,100,2.012964
1846706.500,34255,2,EA,1,100,2.012380
1846773.000,34255,2,EA,1,100,2.012964
1846839.500,34271,2,EA,1,100,2.014722
1846906.000,34271,2,EA,1,100,2.016483
1846973.000,34291,1,EA,1,100,2.017661
1847039.500,34305,2,EA,1,100,2.018840
1847106.000,34305,2,EA,1,100,2.018840
1847173.000,34322,1,EA,1,100,2.018840
1847239.500,34339,2,EA,1,100,2.018840
1847306.000,34339,2,EA,1,100,2.018840
