LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
0.000000,0.000000,1726701769.017626,421795.000,998,1,EL,1,100,-18299.199219
0.000000,0.000000,1726701769.084127,421861.500,1015,2,EL,1,100,-18299.599609
0.000000,0.000000,1726701769.150628,421928.000,1015,2,EL,1,100,-18299.800781
0.000000,0.000000,1726701769.217629,421995.000,1031,1,EL,1,100,-18300.000000
0.000000,0.000000,1726701769.284130,422061.500,1047,2,EL,1,100,-18301.000000
0.000000,0.000000,1726701769.350631,422128.000,1047,2,EL,1,100,-18300.000000
0.000000,0.000000,1726701769.417632,422195.000,1063,1,EL,1,100,-18300.400391
0.000000,0.000000,1726701769.484133,422261.500,1080,2,EL,1,100,-18300.400391
0.000000,0.000000,1726701769.550634,422328.000,1080,2,EL,1,100,-18300.199219
0.000000,0.000000,1726701769.616635,422394.000,1098,1,EL,1,100,-18300.400391
0.000000,0.000000,1726701769.683636,422461.000,1114,2,EL,1,100,-18301.000000
0.000000,0.000000,1726701769.750637,422528.000,1114,2,EL,1,100,-18300.599609
0.000000,0.000000,1726701769.817638,422595.000,1130,1,EL,1,100,-18301.000000
0.000000,0.000000,1726701769.884139,422661.500,1149,2,EL,1,100,-18300.800781
0.000000,0.000000,1726701769.950640,422728.000,1149,2,EL,1,100,-18301.199219
0.000000,0.000000,1726701770.017641,422795.000,1166,1,EL,1,100,-18301.599609
0.000000,0.000000,1726701770.084142,422861.500,1182,2,EL,1,100,-18301.000000
0.000000,0.000000,1726701770.150642,422928.000,1182,2,EL,1,100,-18301.400391
0.000000,0.000000,1726701770.217143,422994.500,1197,2,EL,1,100,-18301.800781
0.000000,0.000000,1726701770.283644,423061.000,1197,2,EL,1,100,-18301.800781
0.000000,0.000000,1726701770.350645,423128.000,1215,1,EL,1,100,-18301.400391
0.000000,0.000000,1726701770.417146,423194.500,1231,2,EL,1,100,-18301.599609
0.000000,0.000000,1726701770.483647,423261.000,1231,2,EL,1,100,-18301.199219
0.000000,0.000000,1726701770.550648,423328.000,1248,1,EL,1,100,-18301.800781
0.000000,0.000000,1726701770.617149,423394.500,1263,2,EL,1,100,-18302.000000
0.000000,0.000000,1726701770.683650,423461.000,1263,2,EL,1,100,-18301.400391
0.000000,0.000000,1726701770.750651,423528.000,1280,1,EL,1,100,-18301.800781
0.000000,0.000000,1726701770.817152,423594.500,1296,2,EL,1,100,-18301.599609
0.000000,0.000000,1726701770.883653,423661.000,1296,2,EL,1,100,-18302.000000
0.000000,0.000000,1726701770.950654,423728.000,1313,1,EL,1,100,-18302.000000
0.000000,0.000000,1726701771.017155,423794.500,1328,2,EL,1,100,-18302.199219
0.000000,0.000000,1726701771.083656,423861.000,1328,2,EL,1,100,-18301.599609
0.000000,0.000000,1726701771.150657,423928.000,1345,1,EL,1,100,-18302.000000
0.000000,0.000000,1726701771.217157,423994.500,1363,2,EL,1,100,-18302.599609
0.000000,0.000000,1726701771.283658,424061.000,1363,2,EL,1,100,-18302.000000
0.000000,0.000000,1726701771.350659,424128.000,1381,1,EL,1,100,-18302.199219
0.000000,0.000000,1726701771.417160,424194.500,1395,2,EL,1,100,-18302.800781
0.000000,0.000000,1726701771.483661,424261.000,1395,2,EL,1,100,-18302.800781
0.000000,0.000000,1726701771.550662,424328.000,1412,1,EL,1,100,-18303.000000
0.000000,0.000000,1726701771.617163,424394.500,1429,2,EL,1,100,-18303.000000
0.000000,0.000000,1726701771.683664,424461.000,1429,2,EL,1,100,-18303.199219
0.000000,0.000000,1726701771.750665,424528.000,1446,1,EL,1,100,-18302.800781
0.000000,0.000000,1726701771.817166,424594.500,1460,2,EL,1,100,-18303.000000
0.000000,0.000000,1726701771.883667,424661.000,1460,2,EL,1,100,-18302.599609
0.000000,0.000000,1726701771.950668,424728.000,1477,1,EL,1,100,-18303.000000
0.000000,0.000000,1726701772.017169,424794.500,1494,2,EL,1,100,-18302.400391
0.000000,0.000000,1726701772.083670,424861.000,1494,2,EL,1,100,-18302.599609
0.000000,0.000000,1726701772.150671,424928.000,1511,1,EL,1,100,-18303.000000
0.000000,0.000000,1726701772.217172,424994.500,1526,2,EL,1,100,-18303.000000
0.000000,0.000000,1726701772.283673,425061.000,1526,2,EL,1,100,-18302.599609
0.000000,0.000000,1726701772.350673,425128.000,1543,1,EL,1,100,-18303.000000
0.000000,0.000000,1726701772.417174,425194.500,1559,2,EL,1,100,-18303.599609
0.000000,0.000000,1726701772.483675,425261.000,1559,2,EL,1,100,-18303.400391
0.000000,0.000000,1726701772.550676,425328.000,1576,1,EL,1,100,-18303.000000
0.000000,0.000000,1726701772.617177,425394.500,1594,2,EL,1,100,-18302.599609
0.000000,0.000000,1726701772.683678,425461.000,1594,2,EL,1,100,-18302.800781
0.000000,0.000000,1726701772.750179,425527.500,1615,2,EL,1,100,-18303.000000
0.000000,0.000000,1726701772.816680,425594.000,1615,2,EL,1,100,-18302.800781
0.000000,0.000000,1726701772.883681,425661.000,1631,1,EL,1,100,-18302.800781
0.000000,0.000000,1726701772.950182,425727.500,1649,2,EL,1,100,-18303.000000
0.000000,0.000000,1726701773.016683,425794.000,1649,2,EL,1,100,-18303.000000
0.000000,0.000000,1726701773.083684,425861.000,1665,1,EL,1,100,-18302.800781
0.000000,0.000000,1726701773.150185,425927.500,1680,2,EL,1,100,-18303.000000
