LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
0.000000,0.000000,1726702090.009154,742782.000,53169,1,EA,1,100,0.030055
0.000000,0.000000,1726702090.076155,742849.000,53184,2,EA,1,100,0.030055
0.000000,0.000000,1726702090.143155,742916.000,53184,2,EA,1,100,0.030055
0.000000,0.000000,1726702090.209156,742982.000,53200,1,EA,1,100,0.030055
0.000000,0.000000,1726702090.276157,743049.000,53218,2,EA,1,100,0.030055
0.000000,0.000000,1726702090.343158,743116.000,53218,2,EA,1,100,0.030055
0.000000,0.000000,1726702090.409159,743182.000,53234,1,EA,1,100,0.030055
0.000000,0.000000,1726702090.476160,743249.000,53249,2,EA,1,100,0.030055
0.000000,0.000000,1726702090.543161,743316.000,53249,2,EA,1,100,0.030055
0.000000,0.000000,1726702090.609162,743382.000,53265,1,EA,1,100,0.030055
0.000000,0.000000,1726702090.676163,743449.000,53283,2,EA,1,100,0.030055
0.000000,0.000000,1726702090.743164,743516.000,53283,2,EA,1,100,0.030055
0.000000,0.000000,1726702090.809165,743582.000,53299,1,EA,1,100,0.030055
0.000000,0.000000,1726702090.876166,743649.000,53314,2,EA,1,100,0.030055
0.000000,0.000000,1726702090.943167,743716.000,53314,2,EA,1,100,0.030055
0.000000,0.000000,1726702091.009168,743782.000,53331,1,EA,1,100,0.030055
0.000000,0.000000,1726702091.076169,743849.000,53348,2,EA,1,100,0.030055
0.000000,0.000000,1726702091.143170,743916.000,53348,2,EA,1,100,0.030055
0.000000,0.000000,1726702091.209171,743982.000,53364,1,EA,1,100,0.030055
0.000000,0.000000,1726702091.276171,744049.000,53380,2,EA,1,100,0.030055
0.000000,0.000000,1726702091.343172,744116.000,53380,2,EA,1,100,0.030055
0.000000,0.000000,1726702091.409173,744182.000,53396,1,EA,1,100,0.030055
0.000000,0.000000,1726702091.476174,744249.000,53413,2,EA,1,100,0.030055
0.000000,0.000000,1726702091.543175,744316.000,53413,2,EA,1,100,0.030055
0.000000,0.000000,1726702091.609176,744382.000,53429,1,EA,1,100,0.030055
0.000000,0.000000,1726702091.676177,744449.000,53446,2,EA,1,100,0.030055
0.000000,0.000000,1726702091.743178,744516.000,53446,2,EA,1,100,0.030055
0.000000,0.000000,1726702091.809179,744582.000,53461,1,EA,1,100,0.030055
0.000000,0.000000,1726702091.876180,744649.000,53478,2,EA,1,100,0.030055
0.000000,0.000000,1726702091.943181,744716.000,53478,2,EA,1,100,0.030055
0.000000,0.000000,1726702092.009682,744782.500,53495,2,EA,1,100,0.030055
0.000000,0.000000,1726702092.076183,744849.000,53495,2,EA,1,100,0.030055
0.000000,0.000000,1726702092.143184,744916.000,53512,1,EA,1,100,0.030055
0.000000,0.000000,1726702092.209685,744982.500,53526,2,EA,1,100,0.030055
0.000000,0.000000,1726702092.276186,745049.000,53526,2,EA,1,100,0.030055
0.000000,0.000000,1726702092.343187,745116.000,53544,1,EA,1,100,0.030055
0.000000,0.000000,1726702092.409687,745182.500,53560,2,EA,1,100,0.030055
0.000000,0.000000,1726702092.476188,745249.000,53560,2,EA,1,100,0.030055
0.000000,0.000000,1726702092.542189,745315.000,53577,1,EA,1,100,0.030055
0.000000,0.000000,1726702092.609190,745382.000,53592,2,EA,1,100,0.030055
0.000000,0.000000,1726702092.676191,745449.000,53592,2,EA,1,100,0.030055
0.000000,0.000000,1726702092.742192,745515.000,53609,1,EA,1,100,0.030055
0.000000,0.000000,1726702092.809193,745582.000,53625,2,EA,1,100,0.030055
0.000000,0.000000,1726702092.876194,745649.000,53625,2,EA,1,100,0.030055
0.000000,0.000000,1726702092.943195,745716.000,53642,1,EA,1,100,0.030055
0.000000,0.000000,1726702093.009696,745782.500,53657,2,EA,1,100,0.030055
0.000000,0.000000,1726702093.076197,745849.000,53657,2,EA,1,100,0.030055
0.000000,0.000000,1726702093.142198,745915.000,53674,1,EA,1,100,0.030055
0.000000,0.000000,1726702093.209199,745982.000,53690,2,EA,1,100,0.030055
0.000000,0.000000,1726702093.276200,746049.000,53690,2,EA,1,100,0.030055
0.000000,0.000000,1726702093.342201,746115.000,53708,1,EA,1,100,0.030055
0.000000,0.000000,1726702093.409202,746182.000,53724,2,EA,1,100,0.030055
0.000000,0.000000,1726702093.476202,746249.000,53724,2,EA,1,100,0.030055
0.000000,0.000000,1726702093.542203,746315.000,53741,1,EA,1,100,0.030055
0.000000,0.000000,1726702093.609204,746382.000,53758,2,EA,1,100,0.030055
0.000000,0.000000,1726702093.676205,746449.000,53758,2,EA,1,100,0.030055
0.000000,0.000000,1726702093.742206,746515.000,53775,1,EA,1,100,0.030055
0.000000,0.000000,1726702093.809207,746582.000,53790,2,EA,1,100,0.030055
0.000000,0.000000,1726702093.876208,746649.000,53790,2,EA,1,100,0.030055
0.000000,0.000000,1726702093.942209,746715.000,53806,1,EA,1,100,0.030055
0.000000,0.000000,1726702094.009210,746782.000,53823,2,EA,1,100,0.030055
0.000000,0.000000,1726702094.076211,746849.000,53823,2,EA,1,100,0.030055
0.000000,0.000000,1726702094.142212,746915.000,53840,1,EA,1,100,0.030055
0.000000,0.000000,1726702094.209213,746982.000,53855,2,EA,1,100,0.030055
0.000000,0.000000,1726702094.276214,747049.000,53855,2,EA,1,100,0.030055
0.000000,0.000000,1726702094.342715,747115.500,53872,2,EA,1,100,0.030055
0.000000,0.000000,1726702094.409216,747182.000,53872,2,EA,1,100,0.030055
0.000000,0.000000,1726702094.476217,747249.000,53888,1,EA,1,100,0.030055
0.000000,0.000000,1726702094.542718,747315.500,53905,2,EA,1,100,0.030055
0.000000,0.000000,1726702094.609218,747382.000,53905,2,EA,1,100,0.030055
0.000000,0.000000,1726702094.676219,747449.000,53922,1,EA,1,100,0.030055
0.000000,0.000000,1726702094.742720,747515.500,53937,2,EA,1,100,0.030055
0.000000,0.000000,1726702094.809221,747582.000,53937,2,EA,1,100,0.030055
0.000000,0.000000,1726702094.876222,747649.000,53953,1,EA,1,100,0.030055
0.000000,0.000000,1726702094.942723,747715.500,53971,2,EA,1,100,0.030055
0.000000,0.000000,1726702095.009224,747782.000,53971,2,EA,1,100,0.030055
0.000000,0.000000,1726702095.076225,747849.000,53987,1,EA,1,100,0.030055
0.000000,0.000000,1726702095.142726,747915.500,54002,2,EA,1,100,0.030055
0.000000,0.000000,1726702095.209227,747982.000,54002,2,EA,1,100,0.030055
0.000000,0.000000,1726702095.276228,748049.000,54018,1,EA,1,100,0.030056
0.000000,0.000000,1726702095.342729,748115.500,54036,2,EA,1,100,0.030055
0.000000,0.000000,1726702095.409230,748182.000,54036,2,EA,1,100,0.030055
0.000000,0.000000,1726702095.476231,748249.000,54052,1,EA,1,100,0.030055
0.000000,0.000000,1726702095.542732,748315.500,54067,2,EA,1,100,0.030055
0.000000,0.000000,1726702095.609233,748382.000,54067,2,EA,1,100,0.030055
0.000000,0.000000,1726702095.676234,748449.000,54084,1,EA,1,100,0.030055
0.000000,0.000000,1726702095.742734,748515.500,54101,2,EA,1,100,0.030055
0.000000,0.000000,1726702095.809235,748582.000,54101,2,EA,1,100,0.030055
0.000000,0.000000,1726702095.875236,748648.000,54117,1,EA,1,100,0.030055
0.000000,0.000000,1726702095.942237,748715.000,54133,2,EA,1,100,0.030055
0.000000,0.000000,1726702096.009238,748782.000,54133,2,EA,1,100,0.030055
0.000000,0.000000,1726702096.075239,748848.000,54149,1,EA,1,100,0.030055
0.000000,0.000000,1726702096.142240,748915.000,54166,2,EA,1,100,0.030055
0.000000,0.000000,1726702096.209241,748982.000,54166,2,EA,1,100,0.030055
0.000000,0.000000,1726702096.276242,749049.000,54182,1,EA,1,100,0.030055
0.000000,0.000000,1726702096.342743,749115.500,54198,2,EA,1,100,0.030055
0.000000,0.000000,1726702096.409244,749182.000,54198,2,EA,1,100,0.030055
0.000000,0.000000,1726702096.476245,749249.000,54214,1,EA,1,100,0.030055
0.000000,0.000000,1726702096.542746,749315.500,54231,2,EA,1,100,0.030055
0.000000,0.000000,1726702096.609247,749382.000,54231,2,EA,1,100,0.030055
0.000000,0.000000,1726702096.675248,749448.000,54248,1,EA,1,100,0.030055
0.000000,0.000000,1726702096.742249,749515.000,54264,2,EA,1,100,0.030055
0.000000,0.000000,1726702096.809249,749582.000,54264,2,EA,1,100,0.030055
0.000000,0.000000,1726702096.875750,749648.500,54279,2,EA,1,100,0.030055
0.000000,0.000000,1726702096.942251,749715.000,54279,2,EA,1,100,0.030055
0.000000,0.000000,1726702097.009252,749782.000,54297,1,EA,1,100,0.030055
0.000000,0.000000,1726702097.075753,749848.500,54313,2,EA,1,100,0.030055
0.000000,0.000000,1726702097.142254,749915.000,54313,2,EA,1,100,0.030055
0.000000,0.000000,1726702097.209255,749982.000,54330,1,EA,1,100,0.030055
0.000000,0.000000,1726702097.275756,750048.500,54345,2,EA,1,100,0.030055
0.000000,0.000000,1726702097.342257,750115.000,54345,2,EA,1,100,0.030055
0.000000,0.000000,1726702097.409258,750182.000,54362,1,EA,1,100,0.030055
0.000000,0.000000,1726702097.475759,750248.500,54378,2,EA,1,100,0.030055
0.000000,0.000000,1726702097.542260,750315.000,54378,2,EA,1,100,0.030055
0.000000,0.000000,1726702097.609261,750382.000,54395,1,EA,1,100,0.030055
0.000000,0.000000,1726702097.675762,750448.500,54410,2,EA,1,100,0.030055
0.000000,0.000000,1726702097.742263,750515.000,54410,2,EA,1,100,0.030055
0.000000,0.000000,1726702097.809264,750582.000,54427,1,EA,1,100,0.030055
0.000000,0.000000,1726702097.875765,750648.500,54443,2,EA,1,100,0.030055
0.000000,0.000000,1726702097.942265,750715.000,54443,2,EA,1,100,0.030055
0.000000,0.000000,1726702098.009266,750782.000,54461,1,EA,1,100,0.030055
0.000000,0.000000,1726702098.075767,750848.500,54475,2,EA,1,100,0.030055
0.000000,0.000000,1726702098.142268,750915.000,54475,2,EA,1,100,0.030056
0.000000,0.000000,1726702098.209269,750982.000,54492,1,EA,1,100,0.030056
0.000000,0.000000,1726702098.275770,751048.500,54509,2,EA,1,100,0.030055
0.000000,0.000000,1726702098.342271,751115.000,54509,2,EA,1,100,0.030055
0.000000,0.000000,1726702098.409272,751182.000,54528,1,EA,1,100,0.030056
0.000000,0.000000,1726702098.475773,751248.500,54542,2,EA,1,100,0.030055
0.000000,0.000000,1726702098.542274,751315.000,54542,2,EA,1,100,0.030056
0.000000,0.000000,1726702098.609275,751382.000,54559,1,EA,1,100,0.030055
0.000000,0.000000,1726702098.675776,751448.500,54576,2,EA,1,100,0.030055
0.000000,0.000000,1726702098.742277,751515.000,54576,2,EA,1,100,0.030056
0.000000,0.000000,1726702098.809278,751582.000,54593,1,EA,1,100,0.030056
0.000000,0.000000,1726702098.875779,751648.500,54608,2,EA,1,100,0.030056
0.000000,0.000000,1726702098.942280,751715.000,54608,2,EA,1,100,0.030055
0.000000,0.000000,1726702099.009281,751782.000,54625,1,EA,1,100,0.030056
0.000000,0.000000,1726702099.075781,751848.500,54641,2,EA,1,100,0.030056
0.000000,0.000000,1726702099.142282,751915.000,54641,2,EA,1,100,0.030056
0.000000,0.000000,1726702099.209283,751982.000,54658,1,EA,1,100,0.030056
0.000000,0.000000,1726702099.275784,752048.500,54674,2,EA,1,100,0.030056
0.000000,0.000000,1726702099.342285,752115.000,54674,2,EA,1,100,0.030056
0.000000,0.000000,1726702099.408786,752181.500,54690,2,EA,1,100,0.030055
0.000000,0.000000,1726702099.475287,752248.000,54690,2,EA,1,100,0.030055
0.000000,0.000000,1726702099.542288,752315.000,54706,1,EA,1,100,0.030055
0.000000,0.000000,1726702099.608789,752381.500,54724,2,EA,1,100,0.030055
0.000000,0.000000,1726702099.675290,752448.000,54724,2,EA,1,100,0.030055
0.000000,0.000000,1726702099.742291,752515.000,54740,1,EA,1,100,0.030055
