LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
0.000000,0.000000,1726702114.834504,767607.000,57183,3,AY,1,100,-0.686
0.000000,0.000000,1726702114.874504,767647.000,57183,3,AY,1,100,-0.687
0.000000,0.000000,1726702114.914505,767687.000,57197,2,AY,1,100,-0.688
0.000000,0.000000,1726702114.954505,767727.000,57197,2,AY,1,100,-0.687
0.000000,0.000000,1726702114.994506,767767.000,57215,3,AY,1,100,-0.686
0.000000,0.000000,1726702115.034507,767807.000,57215,3,AY,1,100,-0.688
0.000000,0.000000,1726702115.074507,767847.000,57215,3,AY,1,100,-0.688
0.000000,0.000000,1726702115.114508,767887.000,57231,2,AY,1,100,-0.683
0.000000,0.000000,1726702115.154508,767927.000,57231,2,AY,1,100,-0.685
0.000000,0.000000,1726702115.194509,767967.000,57248,3,AY,1,100,-0.687
0.000000,0.000000,1726702115.234509,768007.000,57248,3,AY,1,100,-0.690
0.000000,0.000000,1726702115.274510,768047.000,57248,3,AY,1,100,-0.683
0.000000,0.000000,1726702115.314510,768087.000,57263,2,AY,1,100,-0.685
0.000000,0.000000,1726702115.354511,768127.000,57263,2,AY,1,100,-0.687
0.000000,0.000000,1726702115.394845,768167.333,57280,3,AY,1,100,-0.688
0.000000,0.000000,1726702115.435179,768207.667,57280,3,AY,1,100,-0.685
0.000000,0.000000,1726702115.475513,768248.000,57280,3,AY,1,100,-0.684
0.000000,0.000000,1726702115.515513,768288.000,57296,3,AY,1,100,-0.687
0.000000,0.000000,1726702115.555514,768328.000,57296,3,AY,1,100,-0.688
0.000000,0.000000,1726702115.595514,768368.000,57296,3,AY,1,100,-0.686
0.000000,0.000000,1726702115.635515,768408.000,57314,2,AY,1,100,-0.687
0.000000,0.000000,1726702115.675516,768448.000,57314,2,AY,1,100,-0.688
0.000000,0.000000,1726702115.715516,768488.000,57328,3,AY,1,100,-0.688
0.000000,0.000000,1726702115.755517,768528.000,57328,3,AY,1,100,-0.690
0.000000,0.000000,1726702115.795517,768568.000,57328,3,AY,1,100,-0.752
0.000000,0.000000,1726702115.835518,768608.000,57345,2,AY,1,100,-0.705
0.000000,0.000000,1726702115.875518,768648.000,57345,2,AY,1,100,-0.624
0.000000,0.000000,1726702115.915519,768688.000,57361,3,AY,1,100,-0.682
0.000000,0.000000,1726702115.955520,768728.000,57361,3,AY,1,100,-0.566
0.000000,0.000000,1726702115.995520,768768.000,57361,3,AY,1,100,-0.584
0.000000,0.000000,1726702116.035521,768808.000,57379,2,AY,1,100,-0.356
0.000000,0.000000,1726702116.075521,768848.000,57379,2,AY,1,100,-0.610
0.000000,0.000000,1726702116.115522,768888.000,57394,3,AY,1,100,-0.261
0.000000,0.000000,1726702116.155522,768928.000,57394,3,AY,1,100,-0.185
0.000000,0.000000,1726702116.195523,768968.000,57394,3,AY,1,100,-0.516
0.000000,0.000000,1726702116.235523,769008.000,57410,2,AY,1,100,-0.120
0.000000,0.000000,1726702116.275524,769048.000,57410,2,AY,1,100,-0.392
0.000000,0.000000,1726702116.315525,769088.000,57427,3,AY,1,100,-0.594
0.000000,0.000000,1726702116.355525,769128.000,57427,3,AY,1,100,-0.103
0.000000,0.000000,1726702116.395526,769168.000,57427,3,AY,1,100,-0.281
0.000000,0.000000,1726702116.435526,769208.000,57444,2,AY,1,100,-0.303
0.000000,0.000000,1726702116.475527,769248.000,57444,2,AY,1,100,-0.182
0.000000,0.000000,1726702116.515527,769288.000,57460,3,AY,1,100,-0.188
0.000000,0.000000,1726702116.555528,769328.000,57460,3,AY,1,100,-0.130
0.000000,0.000000,1726702116.595529,769368.000,57460,3,AY,1,100,-0.312
0.000000,0.000000,1726702116.635529,769408.000,57476,2,AY,1,100,-0.312
0.000000,0.000000,1726702116.675530,769448.000,57476,2,AY,1,100,-0.075
0.000000,0.000000,1726702116.715530,769488.000,57492,3,AY,1,100,-0.263
0.000000,0.000000,1726702116.755531,769528.000,57492,3,AY,1,100,-0.329
0.000000,0.000000,1726702116.795531,769568.000,57492,3,AY,1,100,-0.297
0.000000,0.000000,1726702116.835532,769608.000,57509,2,AY,1,100,-0.312
0.000000,0.000000,1726702116.875533,769648.000,57509,2,AY,1,100,-0.321
0.000000,0.000000,1726702116.915533,769688.000,57526,3,AY,1,100,-0.263
0.000000,0.000000,1726702116.955534,769728.000,57526,3,AY,1,100,-0.252
0.000000,0.000000,1726702116.995534,769768.000,57526,3,AY,1,100,-0.193
0.000000,0.000000,1726702117.035535,769808.000,57541,2,AY,1,100,-0.198
0.000000,0.000000,1726702117.075535,769848.000,57541,2,AY,1,100,-0.201
0.000000,0.000000,1726702117.115536,769888.000,57557,3,AY,1,100,-0.216
0.000000,0.000000,1726702117.155536,769928.000,57557,3,AY,1,100,-0.221
0.000000,0.000000,1726702117.195537,769968.000,57557,3,AY,1,100,-0.213
0.000000,0.000000,1726702117.235538,770008.000,57574,3,AY,1,100,-0.201
0.000000,0.000000,1726702117.275538,770048.000,57574,3,AY,1,100,-0.207
0.000000,0.000000,1726702117.315539,770088.000,57574,3,AY,1,100,-0.216
0.000000,0.000000,1726702117.355539,770128.000,57591,2,AY,1,100,-0.204
0.000000,0.000000,1726702117.395540,770168.000,57591,2,AY,1,100,-0.218
0.000000,0.000000,1726702117.435540,770208.000,57606,3,AY,1,100,-0.198
0.000000,0.000000,1726702117.475541,770248.000,57606,3,AY,1,100,-0.207
0.000000,0.000000,1726702117.515542,770288.000,57606,3,AY,1,100,-0.204
0.000000,0.000000,1726702117.555542,770328.000,57622,2,AY,1,100,-0.217
0.000000,0.000000,1726702117.595543,770368.000,57622,2,AY,1,100,-0.213
