LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
0.000000,0.000000,1726701933.983953,586759.000,27885,2,GX,1,100,0.641
0.000000,0.000000,1726701934.023954,586799.000,27885,2,GX,1,100,0.854
0.000000,0.000000,1726701934.063954,586839.000,27902,3,GX,1,100,1.007
0.000000,0.000000,1726701934.103955,586879.000,27902,3,GX,1,100,0.824
0.000000,0.000000,1726701934.143955,586919.000,27902,3,GX,1,100,0.763
0.000000,0.000000,1726701934.183956,586959.000,27918,2,GX,1,100,0.946
0.000000,0.000000,1726701934.223956,586999.000,27918,2,GX,1,100,0.824
0.000000,0.000000,1726701934.263957,587039.000,27934,3,GX,1,100,0.946
0.000000,0.000000,1726701934.303958,587079.000,27934,3,GX,1,100,0.854
0.000000,0.000000,1726701934.343958,587119.000,27934,3,GX,1,100,0.946
0.000000,0.000000,1726701934.383959,587159.000,27950,2,GX,1,100,0.916
0.000000,0.000000,1726701934.423959,587199.000,27950,2,GX,1,100,1.862
0.000000,0.000000,1726701934.463960,587239.000,27967,3,GX,1,100,1.709
0.000000,0.000000,1726701934.503960,587279.000,27967,3,GX,1,100,0.732
0.000000,0.000000,1726701934.543961,587319.000,27967,3,GX,1,100,0.549
0.000000,0.000000,1726701934.583962,587359.000,27983,2,GX,1,100,0.275
0.000000,0.000000,1726701934.623962,587399.000,27983,2,GX,1,100,0.580
0.000000,0.000000,1726701934.663963,587439.000,28001,3,GX,1,100,1.556
0.000000,0.000000,1726701934.703963,587479.000,28001,3,GX,1,100,3.571
0.000000,0.000000,1726701934.743964,587519.000,28001,3,GX,1,100,0.610
0.000000,0.000000,1726701934.783964,587559.000,28015,3,GX,1,100,0.214
0.000000,0.000000,1726701934.823965,587599.000,28015,3,GX,1,100,0.275
0.000000,0.000000,1726701934.863965,587639.000,28015,3,GX,1,100,0.305
0.000000,0.000000,1726701934.903966,587679.000,28034,2,GX,1,100,0.336
0.000000,0.000000,1726701934.943967,587719.000,28034,2,GX,1,100,0.366
0.000000,0.000000,1726701934.983967,587759.000,28051,3,GX,1,100,0.824
0.000000,0.000000,1726701935.023968,587799.000,28051,3,GX,1,100,0.885
0.000000,0.000000,1726701935.063968,587839.000,28051,3,GX,1,100,0.977
0.000000,0.000000,1726701935.103969,587879.000,28068,2,GX,1,100,0.580
0.000000,0.000000,1726701935.143969,587919.000,28068,2,GX,1,100,0.671
0.000000,0.000000,1726701935.183970,587959.000,28082,3,GX,1,100,0.885
0.000000,0.000000,1726701935.223971,587999.000,28082,3,GX,1,100,0.732
0.000000,0.000000,1726701935.263971,588039.000,28082,3,GX,1,100,0.458
0.000000,0.000000,1726701935.303972,588079.000,28100,2,GX,1,100,0.610
0.000000,0.000000,1726701935.343972,588119.000,28100,2,GX,1,100,0.824
0.000000,0.000000,1726701935.383973,588159.000,28116,3,GX,1,100,0.854
0.000000,0.000000,1726701935.423973,588199.000,28116,3,GX,1,100,0.580
0.000000,0.000000,1726701935.463974,588239.000,28116,3,GX,1,100,0.610
0.000000,0.000000,1726701935.503975,588279.000,28133,2,GX,1,100,0.610
0.000000,0.000000,1726701935.543975,588319.000,28133,2,GX,1,100,0.793
0.000000,0.000000,1726701935.583976,588359.000,28147,3,GX,1,100,0.763
0.000000,0.000000,1726701935.623976,588399.000,28147,3,GX,1,100,0.488
0.000000,0.000000,1726701935.663977,588439.000,28147,3,GX,1,100,0.549
0.000000,0.000000,1726701935.703977,588479.000,28165,2,GX,1,100,0.793
0.000000,0.000000,1726701935.743978,588519.000,28165,2,GX,1,100,0.854
0.000000,0.000000,1726701935.783978,588559.000,28181,3,GX,1,100,0.732
0.000000,0.000000,1726701935.823979,588599.000,28181,3,GX,1,100,1.007
0.000000,0.000000,1726701935.863980,588639.000,28181,3,GX,1,100,0.732
0.000000,0.000000,1726701935.903980,588679.000,28198,3,GX,1,100,0.732
0.000000,0.000000,1726701935.943981,588719.000,28198,3,GX,1,100,0.885
0.000000,0.000000,1726701935.983981,588759.000,28198,3,GX,1,100,0.732
0.000000,0.000000,1726701936.023482,588798.500,28214,2,GX,1,100,0.458
0.000000,0.000000,1726701936.062982,588838.000,28214,2,GX,1,100,0.427
0.000000,0.000000,1726701936.103316,588878.333,28230,3,GX,1,100,0.824
0.000000,0.000000,1726701936.143650,588918.667,28230,3,GX,1,100,0.763
0.000000,0.000000,1726701936.183984,588959.000,28230,3,GX,1,100,0.641
0.000000,0.000000,1726701936.223985,588999.000,28246,2,GX,1,100,0.458
0.000000,0.000000,1726701936.263985,589039.000,28246,2,GX,1,100,0.519
0.000000,0.000000,1726701936.303986,589079.000,28266,3,GX,1,100,0.885
0.000000,0.000000,1726701936.343986,589119.000,28266,3,GX,1,100,0.824
0.000000,0.000000,1726701936.383987,589159.000,28266,3,GX,1,100,0.610
0.000000,0.000000,1726701936.423987,589199.000,28282,2,GX,1,100,0.458
0.000000,0.000000,1726701936.463988,589239.000,28282,2,GX,1,100,0.397
0.000000,0.000000,1726701936.503989,589279.000,28297,3,GX,1,100,0.763
0.000000,0.000000,1726701936.543989,589319.000,28297,3,GX,1,100,0.610
0.000000,0.000000,1726701936.583990,589359.000,28297,3,GX,1,100,0.244
0.000000,0.000000,1726701936.623990,589399.000,28314,2,GX,1,100,0.183
0.000000,0.000000,1726701936.663991,589439.000,28314,2,GX,1,100,0.427
0.000000,0.000000,1726701936.703658,589478.667,28331,3,GX,1,100,0.946
0.000000,0.000000,1726701936.743325,589518.333,28331,3,GX,1,100,0.854
0.000000,0.000000,1726701936.782993,589558.000,28331,3,GX,1,100,0.732
0.000000,0.000000,1726701936.822993,589598.000,28347,2,GX,1,100,0.732
0.000000,0.000000,1726701936.862994,589638.000,28347,2,GX,1,100,0.854
0.000000,0.000000,1726701936.902994,589678.000,28362,3,GX,1,100,0.946
0.000000,0.000000,1726701936.942995,589718.000,28362,3,GX,1,100,0.916
0.000000,0.000000,1726701936.982995,589758.000,28362,3,GX,1,100,0.610
0.000000,0.000000,1726701937.022996,589798.000,28379,2,GX,1,100,0.549
0.000000,0.000000,1726701937.062997,589838.000,28379,2,GX,1,100,0.946
0.000000,0.000000,1726701937.102997,589878.000,28396,3,GX,1,100,1.007
0.000000,0.000000,1726701937.142998,589918.000,28396,3,GX,1,100,0.854
0.000000,0.000000,1726701937.182998,589958.000,28396,3,GX,1,100,0.732
0.000000,0.000000,1726701937.223332,589998.333,28412,3,GX,1,100,0.763
0.000000,0.000000,1726701937.263666,590038.667,28412,3,GX,1,100,1.099
0.000000,0.000000,1726701937.304000,590079.000,28412,3,GX,1,100,0.885
0.000000,0.000000,1726701937.343500,590118.500,28428,2,GX,1,100,0.580
0.000000,0.000000,1726701937.383001,590158.000,28428,2,GX,1,100,0.641
0.000000,0.000000,1726701937.423002,590198.000,28444,3,GX,1,100,0.763
0.000000,0.000000,1726701937.463002,590238.000,28444,3,GX,1,100,1.068
0.000000,0.000000,1726701937.503003,590278.000,28444,3,GX,1,100,0.824
0.000000,0.000000,1726701937.543003,590318.000,28461,2,GX,1,100,0.763
0.000000,0.000000,1726701937.583004,590358.000,28461,2,GX,1,100,0.732
0.000000,0.000000,1726701937.623004,590398.000,28480,3,GX,1,100,0.977
0.000000,0.000000,1726701937.663005,590438.000,28480,3,GX,1,100,1.129
0.000000,0.000000,1726701937.703006,590478.000,28480,3,GX,1,100,0.702
0.000000,0.000000,1726701937.743006,590518.000,28495,2,GX,1,100,0.763
0.000000,0.000000,1726701937.783007,590558.000,28495,2,GX,1,100,0.580
0.000000,0.000000,1726701937.823007,590598.000,28511,3,GX,1,100,0.977
0.000000,0.000000,1726701937.863008,590638.000,28511,3,GX,1,100,0.916
0.000000,0.000000,1726701937.903008,590678.000,28511,3,GX,1,100,0.732
0.000000,0.000000,1726701937.943009,590718.000,28528,2,GX,1,100,0.702
0.000000,0.000000,1726701937.983009,590758.000,28528,2,GX,1,100,0.610
0.000000,0.000000,1726701938.023010,590798.000,28545,3,GX,1,100,0.885
0.000000,0.000000,1726701938.063011,590838.000,28545,3,GX,1,100,0.916
0.000000,0.000000,1726701938.103011,590878.000,28545,3,GX,1,100,0.702
0.000000,0.000000,1726701938.143012,590918.000,28560,2,GX,1,100,0.732
0.000000,0.000000,1726701938.183012,590958.000,28560,2,GX,1,100,0.763
0.000000,0.000000,1726701938.223013,590998.000,28576,3,GX,1,100,0.793
0.000000,0.000000,1726701938.263013,591038.000,28576,3,GX,1,100,0.702
0.000000,0.000000,1726701938.303014,591078.000,28576,3,GX,1,100,0.610
0.000000,0.000000,1726701938.343015,591118.000,28594,2,GX,1,100,0.427
0.000000,0.000000,1726701938.383015,591158.000,28594,2,GX,1,100,0.549
0.000000,0.000000,1726701938.423016,591198.000,28612,3,GX,1,100,0.977
0.000000,0.000000,1726701938.463016,591238.000,28612,3,GX,1,100,0.671
0.000000,0.000000,1726701938.503017,591278.000,28612,3,GX,1,100,0.702
0.000000,0.000000,1726701938.543017,591318.000,28628,2,GX,1,100,0.427
0.000000,0.000000,1726701938.583018,591358.000,28628,2,GX,1,100,0.610
0.000000,0.000000,1726701938.623019,591398.000,28644,3,GX,1,100,0.732
0.000000,0.000000,1726701938.663019,591438.000,28644,3,GX,1,100,0.641
0.000000,0.000000,1726701938.703020,591478.000,28644,3,GX,1,100,0.519
0.000000,0.000000,1726701938.743020,591518.000,28661,3,GX,1,100,0.519
0.000000,0.000000,1726701938.783021,591558.000,28661,3,GX,1,100,0.549
0.000000,0.000000,1726701938.823021,591598.000,28661,3,GX,1,100,0.854
0.000000,0.000000,1726701938.863022,591638.000,28677,2,GX,1,100,0.671
0.000000,0.000000,1726701938.903022,591678.000,28677,2,GX,1,100,0.549
0.000000,0.000000,1726701938.943023,591718.000,28697,3,GX,1,100,0.610
0.000000,0.000000,1726701938.983024,591758.000,28697,3,GX,1,100,0.458
0.000000,0.000000,1726701939.023024,591798.000,28697,3,GX,1,100,0.732
0.000000,0.000000,1726701939.063025,591838.000,28711,2,GX,1,100,0.793
0.000000,0.000000,1726701939.103025,591878.000,28711,2,GX,1,100,0.702
0.000000,0.000000,1726701939.143026,591918.000,28728,3,GX,1,100,0.580
0.000000,0.000000,1726701939.183026,591958.000,28728,3,GX,1,100,0.824
0.000000,0.000000,1726701939.223027,591998.000,28728,3,GX,1,100,0.977
0.000000,0.000000,1726701939.263028,592038.000,28744,2,GX,1,100,0.824
0.000000,0.000000,1726701939.303028,592078.000,28744,2,GX,1,100,0.580
0.000000,0.000000,1726701939.343029,592118.000,28762,3,GX,1,100,0.549
0.000000,0.000000,1726701939.383029,592158.000,28762,3,GX,1,100,0.793
0.000000,0.000000,1726701939.423030,592198.000,28762,3,GX,1,100,1.129
0.000000,0.000000,1726701939.463030,592238.000,28776,2,GX,1,100,0.946
0.000000,0.000000,1726701939.503031,592278.000,28776,2,GX,1,100,0.702
0.000000,0.000000,1726701939.543031,592318.000,28793,3,GX,1,100,0.702
0.000000,0.000000,1726701939.583032,592358.000,28793,3,GX,1,100,0.702
0.000000,0.000000,1726701939.623033,592398.000,28793,3,GX,1,100,0.854
0.000000,0.000000,1726701939.663033,592438.000,28810,2,GX,1,100,0.732
0.000000,0.000000,1726701939.703034,592478.000,28810,2,GX,1,100,0.763
0.000000,0.000000,1726701939.743034,592518.000,28827,3,GX,1,100,0.854
0.000000,0.000000,1726701939.783035,592558.000,28827,3,GX,1,100,1.129
0.000000,0.000000,1726701939.823035,592598.000,28827,3,GX,1,100,1.556
0.000000,0.000000,1726701939.863036,592638.000,28841,2,GX,1,100,1.129
0.000000,0.000000,1726701939.903037,592678.000,28841,2,GX,1,100,0.763
0.000000,0.000000,1726701939.943037,592718.000,28859,3,GX,1,100,0.671
0.000000,0.000000,1726701939.983038,592758.000,28859,3,GX,1,100,0.610
0.000000,0.000000,1726701940.023038,592798.000,28859,3,GX,1,100,0.641
0.000000,0.000000,1726701940.063039,592838.000,28875,3,GX,1,100,0.732
0.000000,0.000000,1726701940.103039,592878.000,28875,3,GX,1,100,0.641
0.000000,0.000000,1726701940.143040,592918.000,28875,3,GX,1,100,0.671
0.000000,0.000000,1726701940.183041,592958.000,28892,2,GX,1,100,0.793
0.000000,0.000000,1726701940.223041,592998.000,28892,2,GX,1,100,0.854
0.000000,0.000000,1726701940.263042,593038.000,28908,2,GX,1,100,0.671
0.000000,0.000000,1726701940.303042,593078.000,28908,2,GX,1,100,0.519
0.000000,0.000000,1726701940.343043,593118.000,28926,3,GX,1,100,0.671
0.000000,0.000000,1726701940.383043,593158.000,28926,3,GX,1,100,0.916
0.000000,0.000000,1726701940.423044,593198.000,28926,3,GX,1,100,0.702
0.000000,0.000000,1726701940.463044,593238.000,28942,3,GX,1,100,0.519
0.000000,0.000000,1726701940.503045,593278.000,28942,3,GX,1,100,0.427
0.000000,0.000000,1726701940.543046,593318.000,28942,3,GX,1,100,0.732
0.000000,0.000000,1726701940.583046,593358.000,28959,2,GX,1,100,0.946
0.000000,0.000000,1726701940.623047,593398.000,28959,2,GX,1,100,0.916
0.000000,0.000000,1726701940.663047,593438.000,28974,3,GX,1,100,0.671
0.000000,0.000000,1726701940.703048,593478.000,28974,3,GX,1,100,0.671
0.000000,0.000000,1726701940.743048,593518.000,28974,3,GX,1,100,0.885
0.000000,0.000000,1726701940.783049,593558.000,28991,2,GX,1,100,1.007
0.000000,0.000000,1726701940.823050,593598.000,28991,2,GX,1,100,0.854
0.000000,0.000000,1726701940.863050,593638.000,29007,3,GX,1,100,0.763
0.000000,0.000000,1726701940.903051,593678.000,29007,3,GX,1,100,0.671
0.000000,0.000000,1726701940.943051,593718.000,29007,3,GX,1,100,1.129
0.000000,0.000000,1726701940.983052,593758.000,29025,2,GX,1,100,0.824
0.000000,0.000000,1726701941.023052,593798.000,29025,2,GX,1,100,0.580
0.000000,0.000000,1726701941.063053,593838.000,29040,3,GX,1,100,0.641
0.000000,0.000000,1726701941.103053,593878.000,29040,3,GX,1,100,0.977
0.000000,0.000000,1726701941.143054,593918.000,29040,3,GX,1,100,0.885
0.000000,0.000000,1726701941.183055,593958.000,29056,2,GX,1,100,0.702
0.000000,0.000000,1726701941.223055,593998.000,29056,2,GX,1,100,0.671
0.000000,0.000000,1726701941.263056,594038.000,29073,3,GX,1,100,0.488
0.000000,0.000000,1726701941.303056,594078.000,29073,3,GX,1,100,0.854
0.000000,0.000000,1726701941.343057,594118.000,29073,3,GX,1,100,0.793
0.000000,0.000000,1726701941.383057,594158.000,29090,2,GX,1,100,0.549
0.000000,0.000000,1726701941.423058,594198.000,29090,2,GX,1,100,0.458
0.000000,0.000000,1726701941.463059,594238.000,29106,3,GX,1,100,0.671
0.000000,0.000000,1726701941.503059,594278.000,29106,3,GX,1,100,0.885
0.000000,0.000000,1726701941.543060,594318.000,29106,3,GX,1,100,0.763
0.000000,0.000000,1726701941.583060,594358.000,29121,2,GX,1,100,0.610
0.000000,0.000000,1726701941.623061,594398.000,29121,2,GX,1,100,0.458
0.000000,0.000000,1726701941.663061,594438.000,29140,3,GX,1,100,0.458
0.000000,0.000000,1726701941.703062,594478.000,29140,3,GX,1,100,0.977
0.000000,0.000000,1726701941.743063,594518.000,29140,3,GX,1,100,0.824
0.000000,0.000000,1726701941.783063,594558.000,29157,3,GX,1,100,0.641
0.000000,0.000000,1726701941.823064,594598.000,29157,3,GX,1,100,0.519
0.000000,0.000000,1726701941.863064,594638.000,29157,3,GX,1,100,0.763
0.000000,0.000000,1726701941.903065,594678.000,29173,2,GX,1,100,0.763
0.000000,0.000000,1726701941.943065,594718.000,29173,2,GX,1,100,0.610
0.000000,0.000000,1726701941.983066,594758.000,29189,3,GX,1,100,0.549
0.000000,0.000000,1726701942.023066,594798.000,29189,3,GX,1,100,0.519
0.000000,0.000000,1726701942.063067,594838.000,29189,3,GX,1,100,0.580
0.000000,0.000000,1726701942.103068,594878.000,29205,2,GX,1,100,0.763
0.000000,0.000000,1726701942.143068,594918.000,29205,2,GX,1,100,0.671
0.000000,0.000000,1726701942.183069,594958.000,29222,3,GX,1,100,0.580
0.000000,0.000000,1726701942.223069,594998.000,29222,3,GX,1,100,0.641
0.000000,0.000000,1726701942.263070,595038.000,29222,3,GX,1,100,0.946
0.000000,0.000000,1726701942.303070,595078.000,29239,2,GX,1,100,1.007
0.000000,0.000000,1726701942.343071,595118.000,29239,2,GX,1,100,0.763
0.000000,0.000000,1726701942.383072,595158.000,29254,3,GX,1,100,0.732
0.000000,0.000000,1726701942.423072,595198.000,29254,3,GX,1,100,0.519
0.000000,0.000000,1726701942.463073,595238.000,29254,3,GX,1,100,0.885
0.000000,0.000000,1726701942.503073,595278.000,29270,2,GX,1,100,1.282
0.000000,0.000000,1726701942.543074,595318.000,29270,2,GX,1,100,1.099
0.000000,0.000000,1726701942.583074,595358.000,29287,3,GX,1,100,0.854
0.000000,0.000000,1726701942.623075,595398.000,29287,3,GX,1,100,0.702
0.000000,0.000000,1726701942.663075,595438.000,29287,3,GX,1,100,1.068
0.000000,0.000000,1726701942.703076,595478.000,29304,2,GX,1,100,1.007
0.000000,0.000000,1726701942.743077,595518.000,29304,2,GX,1,100,0.763
0.000000,0.000000,1726701942.783077,595558.000,29319,3,GX,1,100,0.671
0.000000,0.000000,1726701942.823078,595598.000,29319,3,GX,1,100,0.732
0.000000,0.000000,1726701942.863078,595638.000,29319,3,GX,1,100,0.702
0.000000,0.000000,1726701942.903079,595678.000,29335,2,GX,1,100,1.129
0.000000,0.000000,1726701942.943079,595718.000,29335,2,GX,1,100,0.732
0.000000,0.000000,1726701942.983080,595758.000,29355,3,GX,1,100,0.519
0.000000,0.000000,1726701943.023081,595798.000,29355,3,GX,1,100,0.854
0.000000,0.000000,1726701943.063081,595838.000,29355,3,GX,1,100,1.068
0.000000,0.000000,1726701943.103082,595878.000,29371,3,GX,1,100,0.977
0.000000,0.000000,1726701943.143082,595918.000,29371,3,GX,1,100,0.702
0.000000,0.000000,1726701943.183083,595958.000,29371,3,GX,1,100,0.732
0.000000,0.000000,1726701943.223083,595998.000,29387,2,GX,1,100,0.793
0.000000,0.000000,1726701943.263084,596038.000,29387,2,GX,1,100,0.916
0.000000,0.000000,1726701943.303085,596078.000,29405,3,GX,1,100,0.885
0.000000,0.000000,1726701943.343085,596118.000,29405,3,GX,1,100,0.732
0.000000,0.000000,1726701943.383086,596158.000,29405,3,GX,1,100,0.702
0.000000,0.000000,1726701943.423086,596198.000,29424,2,GX,1,100,0.732
0.000000,0.000000,1726701943.463087,596238.000,29424,2,GX,1,100,1.099
0.000000,0.000000,1726701943.503087,596278.000,29440,3,GX,1,100,0.854
0.000000,0.000000,1726701943.543088,596318.000,29440,3,GX,1,100,0.671
0.000000,0.000000,1726701943.583088,596358.000,29440,3,GX,1,100,0.610
0.000000,0.000000,1726701943.623089,596398.000,29456,2,GX,1,100,0.885
0.000000,0.000000,1726701943.663090,596438.000,29456,2,GX,1,100,0.824
0.000000,0.000000,1726701943.703090,596478.000,29474,3,GX,1,100,0.732
