LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
0.000000,0.000000,1726701781.157798,433935.000,2962,1,TH,1,100,29.364
0.000000,0.000000,1726701781.290800,434068.000,2978,1,TH,1,100,29.364
0.000000,0.000000,1726701781.423801,434201.000,3010,1,TH,1,100,29.296
0.000000,0.000000,1726701781.557803,434335.000,3027,1,TH,1,100,29.296
0.000000,0.000000,1726701781.690805,434468.000,3044,1,TH,1,100,29.416
0.000000,0.000000,1726701781.823807,434601.000,3075,1,TH,1,100,29.423
0.000000,0.000000,1726701781.957809,434735.000,3094,1,TH,1,100,29.359
0.000000,0.000000,1726701782.090811,434868.000,3111,1,TH,1,100,29.359
0.000000,0.000000,1726701782.223813,435001.000,3142,1,TH,1,100,29.423
0.000000,0.000000,1726701782.357815,435135.000,3160,1,TH,1,100,29.423
0.000000,0.000000,1726701782.490816,435268.000,3176,1,TH,1,100,29.364
0.000000,0.000000,1726701782.623818,435401.000,3208,1,TH,1,100,29.364
0.000000,0.000000,1726701782.757820,435535.000,3225,1,TH,1,100,29.317
0.000000,0.000000,1726701782.890822,435668.000,3241,1,TH,1,100,29.317
0.000000,0.000000,1726701783.023824,435801.000,3264,1,TH,1,100,29.423
0.000000,0.000000,1726701783.157826,435935.000,3280,1,TH,1,100,29.430
0.000000,0.000000,1726701783.290828,436068.000,3314,1,TH,1,100,29.378
0.000000,0.000000,1726701783.423830,436201.000,3333,1,TH,1,100,29.378
0.000000,0.000000,1726701783.556832,436334.000,3349,1,TH,1,100,29.383
0.000000,0.000000,1726701783.690833,436468.000,3381,1,TH,1,100,29.383
0.000000,0.000000,1726701783.823835,436601.000,3398,1,TH,1,100,29.435
0.000000,0.000000,1726701783.956837,436734.000,3414,1,TH,1,100,29.435
0.000000,0.000000,1726701784.090839,436868.000,3446,1,TH,1,100,29.359
0.000000,0.000000,1726701784.223841,437001.000,3463,1,TH,1,100,29.359
0.000000,0.000000,1726701784.356843,437134.000,3480,1,TH,1,100,29.371
0.000000,0.000000,1726701784.490845,437268.000,3497,1,TH,1,100,29.378
0.000000,0.000000,1726701784.623847,437401.000,3529,1,TH,1,100,29.358
0.000000,0.000000,1726701784.756848,437534.000,3547,1,TH,1,100,29.358
0.000000,0.000000,1726701784.890850,437668.000,3564,1,TH,1,100,29.432
0.000000,0.000000,1726701785.023852,437801.000,3596,1,TH,1,100,29.432
0.000000,0.000000,1726701785.156854,437934.000,3612,1,TH,1,100,29.424
0.000000,0.000000,1726701785.290856,438068.000,3629,1,TH,1,100,29.424
0.000000,0.000000,1726701785.423858,438201.000,3661,1,TH,1,100,29.378
0.000000,0.000000,1726701785.556860,438334.000,3677,1,TH,1,100,29.378
0.000000,0.000000,1726701785.690862,438468.000,3695,1,TH,1,100,29.380
0.000000,0.000000,1726701785.823863,438601.000,3726,1,TH,1,100,29.387
0.000000,0.000000,1726701785.956865,438734.000,3744,1,TH,1,100,29.493
0.000000,0.000000,1726701786.090867,438868.000,3762,1,TH,1,100,29.493
0.000000,0.000000,1726701786.223869,439001.000,3793,1,TH,1,100,29.453
0.000000,0.000000,1726701786.356871,439134.000,3810,1,TH,1,100,29.453
0.000000,0.000000,1726701786.490873,439268.000,3827,1,TH,1,100,29.360
0.000000,0.000000,1726701786.623875,439401.000,3859,1,TH,1,100,29.360
0.000000,0.000000,1726701786.756877,439534.000,3875,1,TH,1,100,29.458
0.000000,0.000000,1726701786.889879,439667.000,3892,1,TH,1,100,29.465
0.000000,0.000000,1726701787.023880,439801.000,3909,1,TH,1,100,29.372
0.000000,0.000000,1726701787.156882,439934.000,3942,1,TH,1,100,29.372
0.000000,0.000000,1726701787.290884,440068.000,3959,1,TH,1,100,29.448
0.000000,0.000000,1726701787.423886,440201.000,3976,1,TH,1,100,29.448
0.000000,0.000000,1726701787.556888,440334.000,4007,1,TH,1,100,29.379
0.000000,0.000000,1726701787.690890,440468.000,4025,1,TH,1,100,29.379
0.000000,0.000000,1726701787.823892,440601.000,4041,1,TH,1,100,29.428
0.000000,0.000000,1726701787.956894,440734.000,4073,1,TH,1,100,29.435
0.000000,0.000000,1726701788.089895,440867.000,4095,1,TH,1,100,29.435
0.000000,0.000000,1726701788.223897,441001.000,4111,1,TH,1,100,29.435
0.000000,0.000000,1726701788.356899,441134.000,4145,1,TH,1,100,29.453
0.000000,0.000000,1726701788.489901,441267.000,4162,1,TH,1,100,29.453
0.000000,0.000000,1726701788.623903,441401.000,4180,1,TH,1,100,29.416
0.000000,0.000000,1726701788.756905,441534.000,4212,1,TH,1,100,29.416
0.000000,0.000000,1726701788.889907,441667.000,4229,1,TH,1,100,29.433
0.000000,0.000000,1726701789.023909,441801.000,4246,1,TH,1,100,29.433
0.000000,0.000000,1726701789.156910,441934.000,4263,1,TH,1,100,29.499
0.000000,0.000000,1726701789.289912,442067.000,4295,1,TH,1,100,29.506
0.000000,0.000000,1726701789.423914,442201.000,4311,1,TH,1,100,29.467
0.000000,0.000000,1726701789.556916,442334.000,4328,1,TH,1,100,29.467
0.000000,0.000000,1726701789.689918,442467.000,4360,1,TH,1,100,29.489
0.000000,0.000000,1726701789.823920,442601.000,4376,1,TH,1,100,29.489
0.000000,0.000000,1726701789.956922,442734.000,4395,1,TH,1,100,29.405
0.000000,0.000000,1726701790.089924,442867.000,4427,1,TH,1,100,29.405
0.000000,0.000000,1726701790.223926,443001.000,4443,1,TH,1,100,29.496
0.000000,0.000000,1726701790.356927,443134.000,4461,1,TH,1,100,29.496
0.000000,0.000000,1726701790.489929,443267.000,4492,1,TH,1,100,29.506
