LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
0.000000,0.000000,1726702085.371088,738144.000,52414,3,PG,1,100,626
0.000000,0.000000,1726702085.411089,738184.000,52430,2,PG,1,100,614
0.000000,0.000000,1726702085.451089,738224.000,52430,2,PG,1,100,636
0.000000,0.000000,1726702085.491090,738264.000,52446,3,PG,1,100,617
0.000000,0.000000,1726702085.531090,738304.000,52446,3,PG,1,100,614
0.000000,0.000000,1726702085.571091,738344.000,52446,3,PG,1,100,615
0.000000,0.000000,1726702085.611092,738384.000,52464,2,PG,1,100,608
0.000000,0.000000,1726702085.651092,738424.000,52464,2,PG,1,100,615
0.000000,0.000000,1726702085.691093,738464.000,52480,3,PG,1,100,613
0.000000,0.000000,1726702085.731093,738504.000,52480,3,PG,1,100,619
0.000000,0.000000,1726702085.771094,738544.000,52480,3,PG,1,100,610
0.000000,0.000000,1726702085.811094,738584.000,52495,2,PG,1,100,610
0.000000,0.000000,1726702085.851095,738624.000,52495,2,PG,1,100,626
0.000000,0.000000,1726702085.891096,738664.000,52511,3,PG,1,100,624
0.000000,0.000000,1726702085.931096,738704.000,52511,3,PG,1,100,623
0.000000,0.000000,1726702085.971097,738744.000,52511,3,PG,1,100,621
0.000000,0.000000,1726702086.011097,738784.000,52529,2,PG,1,100,624
0.000000,0.000000,1726702086.051098,738824.000,52529,2,PG,1,100,625
0.000000,0.000000,1726702086.091098,738864.000,52545,3,PG,1,100,622
0.000000,0.000000,1726702086.131099,738904.000,52545,3,PG,1,100,605
0.000000,0.000000,1726702086.171099,738944.000,52545,3,PG,1,100,618
0.000000,0.000000,1726702086.211100,738984.000,52560,2,PG,1,100,608
0.000000,0.000000,1726702086.251101,739024.000,52560,2,PG,1,100,603
0.000000,0.000000,1726702086.291101,739064.000,52577,3,PG,1,100,610
0.000000,0.000000,1726702086.331102,739104.000,52577,3,PG,1,100,618
0.000000,0.000000,1726702086.371102,739144.000,52577,3,PG,1,100,615
0.000000,0.000000,1726702086.411103,739184.000,52594,3,PG,1,100,613
0.000000,0.000000,1726702086.451103,739224.000,52594,3,PG,1,100,618
0.000000,0.000000,1726702086.491104,739264.000,52594,3,PG,1,100,622
0.000000,0.000000,1726702086.531105,739304.000,52610,2,PG,1,100,624
0.000000,0.000000,1726702086.571105,739344.000,52610,2,PG,1,100,622
0.000000,0.000000,1726702086.611106,739384.000,52626,3,PG,1,100,618
0.000000,0.000000,1726702086.651106,739424.000,52626,3,PG,1,100,619
0.000000,0.000000,1726702086.691107,739464.000,52626,3,PG,1,100,619
0.000000,0.000000,1726702086.731107,739504.000,52642,2,PG,1,100,615
0.000000,0.000000,1726702086.771108,739544.000,52642,2,PG,1,100,616
0.000000,0.000000,1726702086.811108,739584.000,52659,3,PG,1,100,606
0.000000,0.000000,1726702086.851109,739624.000,52659,3,PG,1,100,618
0.000000,0.000000,1726702086.891110,739664.000,52659,3,PG,1,100,625
0.000000,0.000000,1726702086.931110,739704.000,52675,2,PG,1,100,600
0.000000,0.000000,1726702086.971111,739744.000,52675,2,PG,1,100,610
0.000000,0.000000,1726702087.011111,739784.000,52691,3,PG,1,100,606
0.000000,0.000000,1726702087.051112,739824.000,52691,3,PG,1,100,604
0.000000,0.000000,1726702087.091112,739864.000,52691,3,PG,1,100,600
0.000000,0.000000,1726702087.131113,739904.000,52707,2,PG,1,100,605
0.000000,0.000000,1726702087.171114,739944.000,52707,2,PG,1,100,598
0.000000,0.000000,1726702087.211114,739984.000,52724,3,PG,1,100,614
0.000000,0.000000,1726702087.251115,740024.000,52724,3,PG,1,100,612
0.000000,0.000000,1726702087.291115,740064.000,52724,3,PG,1,100,607
0.000000,0.000000,1726702087.331116,740104.000,52741,2,PG,1,100,623
0.000000,0.000000,1726702087.371116,740144.000,52741,2,PG,1,100,640
0.000000,0.000000,1726702087.411117,740184.000,52756,3,PG,1,100,624
0.000000,0.000000,1726702087.451118,740224.000,52756,3,PG,1,100,631
0.000000,0.000000,1726702087.491118,740264.000,52756,3,PG,1,100,625
