LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
0.000000,0.000000,1726701839.772624,492549,12534,1,HR,1,100,47
0.000000,0.000000,1726701841.132644,493909,12766,1,HR,1,100,46
0.000000,0.000000,1726701842.332660,495109,12963,1,HR,1,100,47
0.000000,0.000000,1726701843.411676,496188,13131,1,HR,1,100,49
0.000000,0.000000,1726701844.811695,497588,13368,1,HR,1,100,48
0.000000,0.000000,1726701846.091713,498868,13580,1,HR,1,100,47
0.000000,0.000000,1726701847.491733,500268,13811,1,HR,1,100,46
0.000000,0.000000,1726701848.851752,501628,14028,1,HR,1,100,46
0.000000,0.000000,1726701850.291773,503068,14264,1,HR,1,100,45
0.000000,0.000000,1726701851.944796,504721,14527,1,HR,1,100,43
0.000000,0.000000,1726701852.984811,505761,14693,1,HR,1,100,46
0.000000,0.000000,1726701854.344830,507121,14924,1,HR,1,100,46
0.000000,0.000000,1726701855.544847,508321,15127,1,HR,1,100,47
0.000000,0.000000,1726701856.823865,509600,15327,1,HR,1,100,47
0.000000,0.000000,1726701858.183884,510960,15556,1,HR,1,100,46
0.000000,0.000000,1726701859.343900,512120,15740,1,HR,1,100,47
0.000000,0.000000,1726701860.703920,513480,15959,1,HR,1,100,47
0.000000,0.000000,1726701862.023938,514800,16172,1,HR,1,100,46
0.000000,0.000000,1726701863.423958,516200,16406,1,HR,1,100,46
0.000000,0.000000,1726701864.703976,517480,16620,1,HR,1,100,46
0.000000,0.000000,1726701865.983994,518760,16823,1,HR,1,100,46
0.000000,0.000000,1726701867.304013,520080,17037,1,HR,1,100,46
0.000000,0.000000,1726701868.503030,521279,17237,1,HR,1,100,47
0.000000,0.000000,1726701869.836048,522612,17452,1,HR,1,100,47
0.000000,0.000000,1726701870.956064,523732,17637,1,HR,1,100,48
0.000000,0.000000,1726701872.317083,525093,17852,1,HR,1,100,47
0.000000,0.000000,1726701873.556101,526332,18052,1,HR,1,100,47
0.000000,0.000000,1726701874.956121,527732,18283,1,HR,1,100,46
0.000000,0.000000,1726701875.996135,528772,18448,1,HR,1,100,49
0.000000,0.000000,1726701877.236153,530012,18647,1,HR,1,100,49
0.000000,0.000000,1726701878.316168,531092,18828,1,HR,1,100,50
0.000000,0.000000,1726701879.595186,532371,19012,1,HR,1,100,50
0.000000,0.000000,1726701880.955205,533731,19243,1,HR,1,100,48
0.000000,0.000000,1726701882.355225,535131,19475,1,HR,1,100,47
0.000000,0.000000,1726701883.795245,536571,19706,1,HR,1,100,46
0.000000,0.000000,1726701884.955262,537731,19889,1,HR,1,100,47
0.000000,0.000000,1726701886.275280,539051,20103,1,HR,1,100,47
0.000000,0.000000,1726701887.395296,540171,20284,1,HR,1,100,48
0.000000,0.000000,1726701888.648314,541424,20484,1,HR,1,100,48
0.000000,0.000000,1726701889.888331,542664,20698,1,HR,1,100,48
0.000000,0.000000,1726701891.048348,543824,20879,1,HR,1,100,49
0.000000,0.000000,1726701892.408367,545184,21111,1,HR,1,100,48
0.000000,0.000000,1726701893.567383,546343,21293,1,HR,1,100,49
0.000000,0.000000,1726701894.807401,547583,21492,1,HR,1,100,49
0.000000,0.000000,1726701896.127419,548903,21706,1,HR,1,100,48
0.000000,0.000000,1726701897.407437,550183,21920,1,HR,1,100,48
0.000000,0.000000,1726701898.687455,551463,22137,1,HR,1,100,48
0.000000,0.000000,1726701899.893472,552669,22319,1,HR,1,100,48
0.000000,0.000000,1726701901.254491,554030,22548,1,HR,1,100,47
0.000000,0.000000,1726701902.533510,555309,22746,1,HR,1,100,47
0.000000,0.000000,1726701903.893529,556669,22979,1,HR,1,100,46
0.000000,0.000000,1726701904.973544,557749,23145,1,HR,1,100,48
0.000000,0.000000,1726701906.093560,558869,23326,1,HR,1,100,50
0.000000,0.000000,1726701907.253576,560029,23526,1,HR,1,100,50
0.000000,0.000000,1726701908.173589,560949,23675,1,HR,1,100,53
0.000000,0.000000,1726701908.852599,561628,23778,1,HR,1,100,61
0.000000,0.000000,1726701910.092616,562868,23991,1,HR,1,100,58
0.000000,0.000000,1726701911.452635,564228,24205,1,HR,1,100,55
0.000000,0.000000,1726701912.772654,565548,24420,1,HR,1,100,53
0.000000,0.000000,1726701914.052672,566828,24636,1,HR,1,100,52
0.000000,0.000000,1726701915.492692,568268,24867,1,HR,1,100,49
0.000000,0.000000,1726701916.705709,569481,25064,1,HR,1,100,50
0.000000,0.000000,1726701918.065729,570841,25279,1,HR,1,100,48
0.000000,0.000000,1726701919.225745,572001,25462,1,HR,1,100,49
0.000000,0.000000,1726701920.545764,573321,25677,1,HR,1,100,48
0.000000,0.000000,1726701921.865782,574641,25891,1,HR,1,100,48
